rank,combo_id,COOLDOWN_S,SAME_LEVEL_POST_WIN_BLOCK_S,SAME_LEVEL_POST_SL_BLOCK_S,MIN_ENTRY_TICKS,MAX_SPREAD,n_trades,n_wins,win_rate,trades_per_day,gross_pnl,net_pnl,avg_hold_s,profit_factor,avg_mfe,avg_mae,max_dd,n_TP,n_BE,n_TRAIL,n_SL
101,23,180,300,900,30,2.5000,101,66,0.6535,6.5792,-9.0550,-68.8850,201.7525,0.7201,3.5755,-3.4699,81.6500,0,0,70,31
102,88,360,600,1200,30,2.5000,90,55,0.6111,5.8626,-12.8850,-70.3350,220.7000,0.7095,3.7786,-3.5705,99.9500,0,0,60,30
103,81,270,600,1200,30,2.5000,92,58,0.6304,5.9929,-16.3050,-69.0850,200.2174,0.7224,3.7681,-3.6093,98.7000,0,0,62,30
104,67,90,600,1200,30,2.5000,94,59,0.6277,6.1232,-14.6200,-69.2200,197.5745,0.7259,3.7896,-3.5364,102.1650,0,0,63,31
105,408,180,600,600,30,2.0000,95,60,0.6316,6.1883,-13.8050,-69.3250,204.1158,0.7250,3.7372,-3.4816,90.4750,0,0,64,31
106,232,180,1200,300,30,2.5000,87,54,0.6207,5.6509,-21.9750,-74.4450,244.7241,0.6761,3.7155,-3.7236,103.6350,0,0,58,29
107,191,540,600,900,30,2.0000,93,59,0.6344,6.0581,-18.9750,-71.3050,215.5591,0.7081,3.7246,-3.5562,93.6550,0,0,62,31
108,219,180,600,600,30,2.5000,95,59,0.6211,6.1883,-13.5450,-70.5750,204.0526,0.7198,3.7398,-3.4747,93.1150,0,0,64,31
109,363,180,600,600,90,2.5000,95,59,0.6211,6.1883,-13.5450,-70.5750,204.0526,0.7198,3.7398,-3.4747,93.1150,0,0,64,31
110,409,180,600,600,30,2.5000,95,59,0.6211,6.1883,-13.5450,-70.5750,204.0526,0.7198,3.7398,-3.4747,93.1150,0,0,64,31
111,72,180,600,600,30,2.5000,95,59,0.6211,6.1883,-13.5450,-70.5750,204.0526,0.7198,3.7398,-3.4747,93.1150,0,0,64,31
112,357,180,600,600,10,2.5000,95,59,0.6211,6.1883,-13.5450,-70.5750,204.0526,0.7198,3.7398,-3.4747,93.1150,0,0,64,31
113,358,180,600,600,15,2.5000,95,59,0.6211,6.1883,-13.5450,-70.5750,204.0526,0.7198,3.7398,-3.4747,93.1150,0,0,64,31
114,359,180,600,600,20,2.5000,95,59,0.6211,6.1883,-13.5450,-70.5750,204.0526,0.7198,3.7398,-3.4747,93.1150,0,0,64,31
115,360,180,600,600,30,2.5000,95,59,0.6211,6.1883,-13.5450,-70.5750,204.0526,0.7198,3.7398,-3.4747,93.1150,0,0,64,31
116,361,180,600,600,45,2.5000,95,59,0.6211,6.1883,-13.5450,-70.5750,204.0526,0.7198,3.7398,-3.4747,93.1150,0,0,64,31
117,362,180,600,600,60,2.5000,95,59,0.6211,6.1883,-13.5450,-70.5750,204.0526,0.7198,3.7398,-3.4747,93.1150,0,0,64,31
118,242,180,1800,1200,30,2.5000,80,50,0.6250,5.2156,-31.9350,-81.2250,189.8875,0.6258,3.5702,-3.6024,96.7950,0,0,53,27
119,58,60,600,600,30,2.5000,98,62,0.6327,6.3838,-10.8000,-69.5000,204.2551,0.7315,3.8122,-3.5285,95.3700,0,0,66,32
120,51,30,600,600,30,2.5000,98,62,0.6327,6.3838,-10.8000,-69.5000,204.2551,0.7315,3.8122,-3.5285,95.3700,0,0,66,32
121,192,540,600,900,30,2.5000,93,58,0.6237,6.0581,-18.7450,-72.1450,215.5699,0.7052,3.7268,-3.5539,95.8850,0,0,62,31
122,146,540,600,900,90,2.5000,93,58,0.6237,6.0581,-18.7450,-72.1450,215.5699,0.7052,3.7268,-3.5539,95.8850,0,0,62,31
123,145,540,600,900,60,2.5000,93,58,0.6237,6.0581,-18.7450,-72.1450,215.5699,0.7052,3.7268,-3.5539,95.8850,0,0,62,31
124,144,540,600,900,45,2.5000,93,58,0.6237,6.0581,-18.7450,-72.1450,215.5699,0.7052,3.7268,-3.5539,95.8850,0,0,62,31
125,143,540,600,900,30,2.5000,93,58,0.6237,6.0581,-18.7450,-72.1450,215.5699,0.7052,3.7268,-3.5539,95.8850,0,0,62,31
126,142,540,600,900,20,2.5000,93,58,0.6237,6.0581,-18.7450,-72.1450,215.5699,0.7052,3.7268,-3.5539,95.8850,0,0,62,31
127,141,540,600,900,15,2.5000,93,58,0.6237,6.0581,-18.7450,-72.1450,215.5699,0.7052,3.7268,-3.5539,95.8850,0,0,62,31
