kind,sb,hb,n,n_wins,sum_winner,sum_loser
J,2,6,14,10,29.482999999999997,-29.599
J,2,7,13,8,18.6795,-37.4175
J,2,8,19,13,46.32950000000001,-47.201499999999996
J,2,9,12,6,19.844499999999996,-43.589
J,2,10,11,8,16.0225,-25.473
J,2,11,10,4,13.5445,-43.3365
J,2,12,28,17,72.623,-89.13950000000001
J,2,13,28,18,44.46,-72.8545
J,2,14,25,19,46.63349999999999,-41.3615
J,2,15,26,15,39.23199999999999,-98.0265
J,2,16,23,17,49.30349999999999,-49.794000000000004
J,2,17,21,11,26.9045,-76.49999999999999
J,2,18,18,15,40.1795,-27.0355
J,2,19,16,9,19.820999999999998,-58.190000000000005
J,2,20,9,6,12.155000000000001,-26.53
J,2,21,8,5,12.2315,-25.683500000000002
J,2,22,0,0,0.0,0.0
J,2,23,0,0,0.0,0.0
J,3,0,0,0,0.0,0.0
J,3,1,0,0,0.0,0.0
J,3,2,0,0,0.0,0.0
J,3,3,0,0,0.0,0.0
J,3,4,0,0,0.0,0.0
J,3,5,0,0,0.0,0.0
J,3,6,10,7,14.2165,-22.487000000000002
J,3,7,7,5,11.94,-17.3055
J,3,8,8,3,6.9510000000000005,-47.2085
J,3,9,13,7,21.2475,-59.781499999999994
J,3,10,9,6,12.512999999999998,-31.530500000000004
J,3,11,7,5,20.049500000000002,-15.483
J,3,12,15,8,17.945999999999998,-62.346000000000004
J,3,13,9,7,15.241499999999998,-20.954
J,3,14,28,19,46.5295,-75.807
J,3,15,13,9,19.0795,-38.7185
J,3,16,14,8,27.697499999999998,-45.327
J,3,17,10,6,20.239000000000004,-32.683
J,3,18,6,3,6.966,-21.6435
J,3,19,8,6,13.028,-20.57
J,3,20,10,8,18.1635,-19.680500000000002
J,3,21,8,5,14.895,-23.9075
J,3,22,0,0,0.0,0.0
J,3,23,0,0,0.0,0.0
J,4,0,0,0,0.0,0.0
J,4,1,0,0,0.0,0.0
J,4,2,0,0,0.0,0.0
J,4,3,0,0,0.0,0.0
J,4,4,0,0,0.0,0.0
J,4,5,0,0,0.0,0.0
J,4,6,9,5,10.0245,-35.800000000000004
J,4,7,3,2,3.9059999999999997,-9.8335
J,4,8,4,3,6.9215,-12.1935
J,4,9,8,7,16.990499999999997,-8.372
J,4,10,7,4,13.1445,-30.8815
J,4,11,1,0,0.0,-8.423
J,4,12,5,5,11.483,0.0
J,4,13,17,8,17.6045,-89.895
J,4,14,7,3,6.762499999999999,-36.722
J,4,15,11,9,20.8645,-16.085
J,4,16,8,5,9.953999999999999,-21.8815
J,4,17,6,5,10.653,-7.865
J,4,18,2,2,4.398,0.0
J,4,19,5,5,10.668500000000002,0.0
J,4,20,6,5,10.370000000000001,-9.793
J,4,21,3,1,1.997,-21.2255
J,4,22,0,0,0.0,0.0
J,4,23,0,0,0.0,0.0
J,5,0,0,0,0.0,0.0
J,5,1,0,0,0.0,0.0
J,5,2,0,0,0.0,0.0
J,5,3,0,0,0.0,0.0
J,5,4,0,0,0.0,0.0
J,5,5,0,0,0.0,0.0
J,5,6,9,6,11.631999999999998,-35.8785
J,5,7,6,4,7.814500000000001,-22.412
J,5,8,2,1,3.0635,-7.362
J,5,9,6,3,5.495,-33.01
J,5,10,1,1,3.7515,0.0
J,5,11,0,0,0.0,0.0
J,5,12,2,1,0.8565,-9.505
J,5,13,9,4,10.697500000000002,-38.2275
J,5,14,1,1,2.4,0.0
J,5,15,6,4,6.588,-24.9055
J,5,16,4,2,3.1944999999999997,-14.982
J,5,17,5,4,8.5875,-11.29
J,5,18,12,11,19.766999999999996,-7.31
J,5,19,2,2,3.7815000000000003,0.0
J,5,20,4,2,3.957,-19.705
J,5,21,2,1,2.245,-13.305
J,5,22,0,0,0.0,0.0
J,5,23,0,0,0.0,0.0
S,0,-1,36,26,69.78749999999998,-68.684
S,1,-1,609,413,1211.5145000000007,-1409.2160000000003
S,2,-1,281,181,507.447,-791.7314999999996
S,3,-1,175,112,286.70299999999986,-555.433
S,4,-1,102,69,155.74199999999996,-308.9705000000001
S,5,-1,71,47,93.83099999999997,-237.89249999999998
G,-1,-1,1274,848,2325.024999999999,-3371.9274999999966
