rank,combo_id,TP_RR,SL_FRAC,TRAIL_FRAC,MFE_TRAIL_FRAC,n_trades,n_wins,WR_pct,net_usd,gross_usd,cost_usd,mean_net,PF,max_dd,tp_count,trail_count,sl_count,be_count,oos_trades,oos_wins,oos_WR_pct,oos_net_usd
65,66,2.00,0.80,0.30,0.30,947,617,65.15,-3948.24,-741.74,3206.50,-4.1692,0.3078,3950.79,3,635,309,0,225,138,61.33,-1075.80
66,65,2.00,0.80,0.20,0.55,936,529,56.52,-3948.69,-783.59,3165.10,-4.2187,0.3038,3949.44,3,627,306,0,223,128,57.40,-1031.25
67,139,3.00,0.60,0.30,0.40,947,552,58.29,-3952.90,-757.20,3195.70,-4.1741,0.2723,3954.55,0,590,357,0,225,129,57.33,-997.20
68,82,2.00,1.00,0.20,0.40,909,596,65.57,-3953.75,-877.65,3076.10,-4.3496,0.3140,3968.25,1,640,268,0,221,142,64.25,-1124.95
69,10,1.50,0.70,0.20,0.40,949,573,60.38,-3954.97,-751.06,3203.90,-4.1675,0.2949,3956.62,17,599,333,0,227,133,58.59,-1048.81
70,52,2.00,0.60,0.45,0.40,950,554,58.32,-3955.73,-751.13,3204.60,-4.1639,0.2726,3957.38,19,573,358,0,227,130,57.27,-1006.33
71,20,1.50,0.80,0.20,0.55,936,529,56.52,-3961.08,-796.18,3164.90,-4.2319,0.3014,3961.83,12,618,306,0,223,128,57.40,-1029.59
72,177,3.00,1.00,0.45,0.30,915,622,67.98,-3963.90,-859.90,3104.00,-4.3321,0.3205,3980.40,1,643,271,0,222,143,64.41,-1120.90
73,132,2.50,1.00,0.45,0.30,915,622,67.98,-3965.97,-861.97,3104.00,-4.3344,0.3201,3982.47,2,642,271,0,222,143,64.41,-1120.90
74,142,3.00,0.60,0.45,0.40,950,554,58.32,-3976.76,-773.16,3203.60,-4.1861,0.2698,3978.41,3,588,359,0,227,130,57.27,-1012.65
75,107,2.50,0.70,0.45,0.55,921,386,41.91,-3978.89,-866.89,3112.00,-4.3202,0.2756,3979.14,13,585,323,0,220,88,40.00,-1128.18
76,105,2.50,0.70,0.45,0.30,960,599,62.40,-3980.69,-733.89,3246.80,-4.1465,0.2997,3983.24,6,616,338,0,228,133,58.33,-1089.00
77,5,1.50,0.60,0.30,0.55,948,383,40.40,-3983.34,-783.94,3199.40,-4.2018,0.2832,3983.59,57,531,360,0,224,93,41.52,-1018.53
78,150,3.00,0.70,0.45,0.30,960,599,62.40,-3984.12,-737.42,3246.70,-4.1501,0.2991,3986.67,3,619,338,0,228,133,58.33,-1083.10
79,140,3.00,0.60,0.30,0.55,942,378,40.13,-3988.77,-808.27,3180.50,-4.2344,0.2780,3989.02,1,583,358,0,221,92,41.63,-1007.62
80,87,2.00,1.00,0.45,0.30,918,624,67.97,-3989.30,-875.80,3113.50,-4.3456,0.3176,4005.80,4,642,272,0,222,143,64.41,-1121.20
81,42,1.50,1.00,0.45,0.30,917,623,67.94,-3992.77,-881.87,3110.90,-4.3542,0.3180,4009.27,11,634,272,0,222,143,64.41,-1120.22
82,23,1.50,0.80,0.30,0.55,923,398,43.12,-3993.01,-869.11,3123.90,-4.3261,0.2943,3993.26,28,592,303,0,219,97,44.29,-1068.95
83,54,2.00,0.70,0.20,0.30,956,594,62.13,-3996.80,-762.60,3234.20,-4.1808,0.3004,3999.35,6,611,339,0,227,133,58.59,-1051.99
84,144,3.00,0.70,0.20,0.30,956,594,62.13,-3999.03,-764.82,3234.20,-4.1831,0.3000,4001.58,1,616,339,0,227,133,58.59,-1058.40
85,99,2.50,0.70,0.20,0.30,956,594,62.13,-3999.68,-765.47,3234.20,-4.1838,0.2999,4002.23,2,615,339,0,227,133,58.59,-1058.40
86,89,2.00,1.00,0.45,0.55,882,408,46.26,-4002.80,-1015.60,2987.20,-4.5383,0.2903,4003.35,9,616,257,0,218,94,43.12,-1230.80
87,95,2.50,0.60,0.30,0.55,945,379,40.11,-4007.63,-818.32,3189.30,-4.2409,0.2821,4007.88,7,576,362,0,223,93,41.70,-1020.55
88,97,2.50,0.60,0.45,0.40,950,552,58.11,-4007.93,-802.82,3205.10,-4.2189,0.2660,4009.58,7,584,359,0,227,130,57.27,-1006.87
89,162,3.00,0.90,0.20,0.30,924,610,66.02,-4010.12,-881.62,3128.50,-4.3400,0.3127,4012.67,1,632,291,0,223,142,63.68,-1029.70
90,179,3.00,1.00,0.45,0.55,879,405,46.08,-4012.05,-1035.75,2976.30,-4.5643,0.2894,4012.60,1,621,257,0,218,94,43.12,-1229.85
91,173,3.00,1.00,0.20,0.55,904,533,58.96,-4013.05,-952.15,3060.90,-4.4392,0.3118,4024.55,1,634,269,0,221,130,58.82,-1144.40
92,158,3.00,0.80,0.30,0.55,921,395,42.89,-4015.08,-897.38,3117.70,-4.3595,0.2927,4015.33,2,615,304,0,218,96,44.04,-1071.20
93,134,2.50,1.00,0.45,0.55,878,404,46.01,-4015.18,-1042.07,2973.10,-4.5731,0.2888,4015.73,3,618,257,0,218,94,43.12,-1229.85
94,152,3.00,0.70,0.45,0.55,921,384,41.69,-4017.60,-905.80,3111.80,-4.3622,0.2727,4017.85,6,590,325,0,220,88,40.00,-1126.00
95,117,2.50,0.90,0.20,0.30,924,610,66.02,-4018.21,-889.71,3128.50,-4.3487,0.3114,4020.76,1,632,291,0,223,142,63.68,-1029.70
96,9,1.50,0.70,0.20,0.30,957,594,62.07,-4019.22,-781.72,3237.50,-4.1998,0.2967,4021.77,17,601,339,0,228,133,58.33,-1048.36
97,72,2.00,0.90,0.20,0.30,924,610,66.02,-4020.76,-892.26,3128.50,-4.3515,0.3109,4023.31,2,631,291,0,223,142,63.68,-1029.70
98,128,2.50,1.00,0.20,0.55,904,533,58.96,-4021.92,-961.02,3060.90,-4.4490,0.3102,4033.42,1,634,269,0,221,130,58.82,-1144.40
99,38,1.50,1.00,0.20,0.55,904,533,58.96,-4023.35,-962.45,3060.90,-4.4506,0.3100,4034.85,6,629,269,0,221,130,58.82,-1136.62
100,27,1.50,0.90,0.20,0.30,924,610,66.02,-4023.52,-895.21,3128.30,-4.3545,0.3104,4026.06,9,624,291,0,223,142,63.68,-1022.51
101,163,3.00,0.90,0.20,0.40,916,585,63.86,-4026.73,-933.02,3093.70,-4.3960,0.3028,4028.38,1,627,288,0,223,141,63.23,-1071.45
102,123,2.50,0.90,0.45,0.30,929,614,66.09,-4028.05,-881.95,3146.10,-4.3359,0.3124,4030.60,4,632,293,0,224,141,62.95,-1084.60
103,113,2.50,0.80,0.30,0.55,921,395,42.89,-4028.70,-911.00,3117.70,-4.3743,0.2903,4028.95,2,615,304,0,218,96,44.04,-1071.20
104,118,2.50,0.90,0.20,0.40,916,585,63.86,-4034.81,-941.11,3093.70,-4.4048,0.3014,4036.46,1,627,288,0,223,141,63.23,-1071.45
105,57,2.00,0.70,0.30,0.30,957,595,62.17,-4036.46,-799.66,3236.80,-4.2178,0.2941,4039.01,7,611,339,0,228,133,58.33,-1087.54
106,78,2.00,0.90,0.45,0.30,929,614,66.09,-4036.78,-890.58,3146.20,-4.3453,0.3109,4039.33,7,629,293,0,224,141,62.95,-1091.90
107,73,2.00,0.90,0.20,0.40,916,585,63.86,-4037.36,-943.66,3093.70,-4.4076,0.3009,4039.01,2,626,288,0,223,141,63.23,-1071.45
108,17,1.50,0.70,0.45,0.55,930,389,41.83,-4037.45,-894.75,3142.70,-4.3413,0.2702,4037.70,52,553,325,0,222,91,40.99,-1093.24
109,12,1.50,0.70,0.30,0.30,959,596,62.15,-4037.81,-794.11,3243.70,-4.2104,0.2938,4040.36,21,599,339,0,229,133,58.08,-1080.53
110,44,1.50,1.00,0.45,0.55,882,407,46.15,-4038.08,-1050.57,2987.50,-4.5783,0.2888,4038.63,22,602,258,0,218,95,43.58,-1206.20
111,11,1.50,0.70,0.20,0.55,948,514,54.22,-4040.12,-837.82,3202.30,-4.2617,0.2880,4040.87,18,595,335,0,227,123,54.19,-1065.56
112,28,1.50,0.90,0.20,0.40,916,585,63.86,-4040.52,-946.81,3093.70,-4.4110,0.3004,4042.17,9,619,288,0,223,141,63.23,-1064.46
113,15,1.50,0.70,0.45,0.30,959,596,62.15,-4042.01,-797.01,3245.00,-4.2148,0.2931,4044.56,21,599,339,0,229,133,58.08,-1082.83
114,56,2.00,0.70,0.20,0.55,947,515,54.38,-4042.20,-843.60,3198.60,-4.2684,0.2892,4042.95,6,605,336,0,226,123,54.42,-1069.19
115,60,2.00,0.70,0.45,0.30,957,595,62.17,-4042.67,-804.57,3238.10,-4.2243,0.2930,4045.22,9,609,339,0,228,133,58.33,-1087.29
116,80,2.00,0.90,0.45,0.55,896,404,45.09,-4042.69,-1011.59,3031.10,-4.5119,0.2842,4042.94,13,606,277,0,220,96,43.64,-1171.90
117,146,3.00,0.70,0.20,0.55,947,515,54.38,-4044.43,-845.82,3198.60,-4.2708,0.2888,4045.18,1,610,336,0,226,123,54.42,-1075.60
118,101,2.50,0.70,0.20,0.55,947,515,54.38,-4045.08,-846.47,3198.60,-4.2715,0.2887,4045.83,2,609,336,0,226,123,54.42,-1075.60
119,147,3.00,0.70,0.30,0.30,957,595,62.17,-4047.83,-811.02,3236.80,-4.2297,0.2921,4050.38,1,617,339,0,228,133,58.33,-1093.95
120,102,2.50,0.70,0.30,0.30,957,595,62.17,-4048.48,-811.67,3236.80,-4.2304,0.2920,4051.03,2,616,339,0,228,133,58.33,-1093.95
121,83,2.00,1.00,0.20,0.55,905,533,58.90,-4051.50,-987.10,3064.40,-4.4768,0.3076,4063.00,1,634,270,0,221,130,58.82,-1144.40
122,30,1.50,0.90,0.30,0.30,926,611,65.98,-4059.18,-923.78,3135.40,-4.3836,0.3094,4061.73,14,619,293,0,224,141,62.95,-1082.08
123,165,3.00,0.90,0.30,0.30,926,611,65.98,-4061.12,-925.82,3135.30,-4.3857,0.3091,4063.67,1,632,293,0,224,141,62.95,-1095.05
124,125,2.50,0.90,0.45,0.55,896,403,44.98,-4062.11,-1030.71,3031.40,-4.5336,0.2825,4062.36,6,612,278,0,220,96,43.64,-1164.05
125,120,2.50,0.90,0.30,0.30,926,611,65.98,-4068.34,-933.04,3135.30,-4.3935,0.3079,4070.89,2,631,293,0,224,141,62.95,-1095.05
126,62,2.00,0.70,0.45,0.55,923,385,41.71,-4069.69,-951.09,3118.60,-4.4092,0.2691,4069.94,22,574,327,0,222,90,40.54,-1143.36
127,68,2.00,0.80,0.30,0.55,922,395,42.84,-4074.84,-955.04,3119.80,-4.4196,0.2887,4075.09,7,608,307,0,219,96,43.84,-1108.34
128,75,2.00,0.90,0.30,0.30,926,611,65.98,-4077.87,-942.57,3135.30,-4.4037,0.3062,4080.42,3,630,293,0,224,141,62.95,-1095.05
129,22,1.50,0.80,0.30,0.40,928,578,62.28,-4083.06,-946.66,3136.40,-4.3998,0.2855,4084.71,22,596,310,0,222,135,60.81,-1116.89
130,33,1.50,0.90,0.45,0.30,926,610,65.87,-4086.42,-949.72,3136.70,-4.4130,0.3071,4088.97,16,616,294,0,224,141,62.95,-1080.38
131,35,1.50,0.90,0.45,0.55,897,406,45.26,-4087.83,-1053.63,3034.20,-4.5572,0.2763,4088.08,27,593,277,0,220,98,44.55,-1138.37
132,168,3.00,0.90,0.45,0.30,925,609,65.84,-4090.52,-956.72,3133.80,-4.4222,0.3064,4093.07,1,630,294,0,224,141,62.95,-1088.80
133,157,3.00,0.80,0.30,0.40,927,577,62.24,-4098.53,-965.73,3132.80,-4.4213,0.2831,4100.18,2,615,310,0,222,135,60.81,-1128.90
134,112,2.50,0.80,0.30,0.40,927,577,62.24,-4112.15,-979.35,3132.80,-4.4360,0.2807,4113.80,2,615,310,0,222,135,60.81,-1128.90
135,115,2.50,0.80,0.45,0.40,932,581,62.34,-4119.00,-971.10,3147.90,-4.4195,0.2771,4120.65,5,617,310,0,224,135,60.27,-1154.55
136,14,1.50,0.70,0.30,0.55,937,389,41.52,-4119.93,-953.63,3166.30,-4.3969,0.2805,4120.18,38,563,336,0,222,92,41.44,-1080.00
137,67,2.00,0.80,0.30,0.40,927,577,62.24,-4122.94,-990.14,3132.80,-4.4476,0.2788,4124.59,3,614,310,0,222,135,60.81,-1128.90
138,13,1.50,0.70,0.30,0.40,941,564,59.94,-4130.59,-952.78,3177.80,-4.3896,0.2714,4132.24,26,579,336,0,226,130,57.52,-1125.40
139,170,3.00,0.90,0.45,0.55,894,400,44.74,-4133.28,-1108.27,3025.00,-4.6234,0.2735,4133.53,1,614,279,0,220,96,43.64,-1168.25
140,25,1.50,0.80,0.45,0.40,931,579,62.19,-4139.54,-993.64,3145.90,-4.4463,0.2775,4141.19,27,593,311,0,223,134,60.09,-1150.16
141,164,3.00,0.90,0.20,0.55,916,525,57.31,-4139.73,-1043.82,3095.90,-4.5194,0.2941,4140.47,1,624,291,0,223,130,58.30,-1090.10
142,70,2.00,0.80,0.45,0.40,932,581,62.34,-4140.26,-992.36,3147.90,-4.4423,0.2733,4141.91,8,614,310,0,224,135,60.27,-1161.15
143,58,2.00,0.70,0.30,0.40,938,562,59.91,-4142.26,-974.46,3167.80,-4.4161,0.2693,4143.91,7,595,336,0,225,130,57.78,-1138.44
144,29,1.50,0.90,0.20,0.55,916,525,57.31,-4143.12,-1047.41,3095.70,-4.5231,0.2936,4143.87,9,616,291,0,223,130,58.30,-1072.61
145,119,2.50,0.90,0.20,0.55,916,525,57.31,-4147.81,-1051.91,3095.90,-4.5282,0.2928,4148.56,1,624,291,0,223,130,58.30,-1090.10
146,74,2.00,0.90,0.20,0.55,916,525,57.31,-4150.36,-1054.46,3095.90,-4.5310,0.2923,4151.11,2,623,291,0,223,130,58.30,-1090.10
147,148,3.00,0.70,0.30,0.40,938,562,59.91,-4153.63,-985.82,3167.80,-4.4282,0.2673,4155.28,1,601,336,0,225,130,57.78,-1144.85
148,104,2.50,0.70,0.30,0.55,931,384,41.25,-4153.83,-1007.32,3146.50,-4.4617,0.2746,4154.08,4,591,336,0,219,90,41.10,-1089.81
149,103,2.50,0.70,0.30,0.40,938,562,59.91,-4154.28,-986.47,3167.80,-4.4289,0.2671,4155.93,2,600,336,0,225,130,57.78,-1144.85
150,176,3.00,1.00,0.30,0.55,887,403,45.43,-4158.75,-1151.85,3006.90,-4.6886,0.2927,4168.25,1,619,267,0,217,96,44.24,-1209.90
151,149,3.00,0.70,0.30,0.55,931,384,41.25,-4158.78,-1012.27,3146.50,-4.4670,0.2737,4159.03,1,594,336,0,219,90,41.10,-1091.45
152,131,2.50,1.00,0.30,0.55,887,403,45.43,-4163.42,-1156.52,3006.90,-4.6938,0.2919,4172.92,2,618,267,0,217,96,44.24,-1209.90
153,41,1.50,1.00,0.30,0.55,887,403,45.43,-4164.70,-1157.80,3006.90,-4.6953,0.2917,4174.20,11,609,267,0,217,96,44.24,-1198.72
154,151,3.00,0.70,0.45,0.40,942,565,59.98,-4166.52,-987.22,3179.30,-4.4231,0.2647,4168.17,4,601,337,0,227,131,57.71,-1159.30
155,106,2.50,0.70,0.45,0.40,942,565,59.98,-4169.01,-989.61,3179.40,-4.4257,0.2642,4170.66,7,598,337,0,227,131,57.71,-1165.20
156,59,2.00,0.70,0.30,0.55,933,385,41.26,-4176.42,-1024.12,3152.30,-4.4763,0.2746,4176.67,12,583,338,0,221,91,41.18,-1117.46
157,160,3.00,0.80,0.45,0.40,929,576,62.00,-4178.43,-1038.63,3139.80,-4.4978,0.2742,4180.08,3,614,312,0,224,135,60.27,-1155.25
158,175,3.00,1.00,0.30,0.40,898,584,65.03,-4189.80,-1148.20,3041.60,-4.6657,0.2867,4203.40,1,624,273,0,220,139,63.18,-1222.35
159,130,2.50,1.00,0.30,0.40,898,584,65.03,-4194.47,-1152.87,3041.60,-4.6709,0.2859,4208.07,2,623,273,0,220,139,63.18,-1222.35
160,16,1.50,0.70,0.45,0.40,943,564,59.81,-4198.81,-1015.31,3183.50,-4.4526,0.2631,4200.46,31,574,338,0,227,130,57.27,-1148.46
161,86,2.00,1.00,0.30,0.55,888,403,45.38,-4200.65,-1190.25,3010.40,-4.7305,0.2881,4210.15,2,618,268,0,217,96,44.24,-1209.90
162,40,1.50,1.00,0.30,0.40,899,584,64.96,-4219.75,-1174.55,3045.20,-4.6938,0.2842,4233.35,8,617,274,0,220,139,63.18,-1214.57
163,61,2.00,0.70,0.45,0.40,941,563,59.83,-4227.21,-1049.81,3177.40,-4.4923,0.2582,4228.86,11,592,338,0,227,131,57.71,-1157.58
164,85,2.00,1.00,0.30,0.40,899,584,64.96,-4231.70,-1186.60,3045.10,-4.7071,0.2821,4245.30,2,623,274,0,220,139,63.18,-1222.35
165,32,1.50,0.90,0.30,0.55,902,399,44.24,-4246.22,-1192.62,3053.60,-4.7076,0.2794,4246.47,16,597,289,0,219,97,44.29,-1139.02
