rank,combo_id,TP_RR,SL_FRAC,TRAIL_FRAC,MFE_TRAIL_FRAC,is_trades,is_net_usd,oos_trades,oos_wins,oos_WR_pct,oos_net_usd
96,105,2.50,0.70,0.45,0.30,960,-3980.69,228,133,58.33,-1089.00
97,104,2.50,0.70,0.30,0.55,931,-4153.83,219,90,41.10,-1089.81
98,74,2.00,0.90,0.20,0.55,916,-4150.36,223,130,58.30,-1090.10
99,164,3.00,0.90,0.20,0.55,916,-4139.73,223,130,58.30,-1090.10
100,119,2.50,0.90,0.20,0.55,916,-4147.81,223,130,58.30,-1090.10
101,149,3.00,0.70,0.30,0.55,931,-4158.78,219,90,41.10,-1091.45
102,78,2.00,0.90,0.45,0.30,929,-4036.78,224,141,62.95,-1091.90
103,116,2.50,0.80,0.45,0.55,910,-3889.25,219,95,43.38,-1092.30
104,17,1.50,0.70,0.45,0.55,930,-4037.45,222,91,40.99,-1093.24
105,161,3.00,0.80,0.45,0.55,908,-3909.75,219,95,43.38,-1093.30
106,102,2.50,0.70,0.30,0.30,957,-4048.48,228,133,58.33,-1093.95
107,147,3.00,0.70,0.30,0.30,957,-4047.83,228,133,58.33,-1093.95
108,165,3.00,0.90,0.30,0.30,926,-4061.12,224,141,62.95,-1095.05
109,120,2.50,0.90,0.30,0.30,926,-4068.34,224,141,62.95,-1095.05
110,75,2.00,0.90,0.30,0.30,926,-4077.87,224,141,62.95,-1095.05
111,68,2.00,0.80,0.30,0.55,922,-4074.84,219,96,43.84,-1108.34
112,22,1.50,0.80,0.30,0.40,928,-4083.06,222,135,60.81,-1116.89
113,37,1.50,1.00,0.20,0.40,908,-3925.60,221,142,64.25,-1117.17
114,59,2.00,0.70,0.30,0.55,933,-4176.42,221,91,41.18,-1117.46
115,39,1.50,1.00,0.30,0.30,916,-3916.35,222,143,64.41,-1119.57
116,42,1.50,1.00,0.45,0.30,917,-3992.77,222,143,64.41,-1120.22
117,132,2.50,1.00,0.45,0.30,915,-3965.97,222,143,64.41,-1120.90
118,177,3.00,1.00,0.45,0.30,915,-3963.90,222,143,64.41,-1120.90
119,87,2.00,1.00,0.45,0.30,918,-3989.30,222,143,64.41,-1121.20
120,82,2.00,1.00,0.20,0.40,909,-3953.75,221,142,64.25,-1124.95
121,172,3.00,1.00,0.20,0.40,908,-3915.30,221,142,64.25,-1124.95
122,127,2.50,1.00,0.20,0.40,908,-3924.18,221,142,64.25,-1124.95
123,13,1.50,0.70,0.30,0.40,941,-4130.59,226,130,57.52,-1125.40
124,152,3.00,0.70,0.45,0.55,921,-4017.60,220,88,40.00,-1126.00
125,174,3.00,1.00,0.30,0.30,915,-3886.40,222,143,64.41,-1127.35
126,84,2.00,1.00,0.30,0.30,916,-3928.30,222,143,64.41,-1127.35
127,129,2.50,1.00,0.30,0.30,915,-3891.07,222,143,64.41,-1127.35
128,107,2.50,0.70,0.45,0.55,921,-3978.89,220,88,40.00,-1128.18
129,67,2.00,0.80,0.30,0.40,927,-4122.94,222,135,60.81,-1128.90
130,157,3.00,0.80,0.30,0.40,927,-4098.53,222,135,60.81,-1128.90
131,112,2.50,0.80,0.30,0.40,927,-4112.15,222,135,60.81,-1128.90
132,71,2.00,0.80,0.45,0.55,911,-3930.55,220,95,43.18,-1132.93
133,38,1.50,1.00,0.20,0.55,904,-4023.35,221,130,58.82,-1136.62
134,35,1.50,0.90,0.45,0.55,897,-4087.83,220,98,44.55,-1138.37
135,58,2.00,0.70,0.30,0.40,938,-4142.26,225,130,57.78,-1138.44
136,32,1.50,0.90,0.30,0.55,902,-4246.22,219,97,44.29,-1139.02
137,62,2.00,0.70,0.45,0.55,923,-4069.69,222,90,40.54,-1143.36
138,128,2.50,1.00,0.20,0.55,904,-4021.92,221,130,58.82,-1144.40
139,173,3.00,1.00,0.20,0.55,904,-4013.05,221,130,58.82,-1144.40
140,83,2.00,1.00,0.20,0.55,905,-4051.50,221,130,58.82,-1144.40
141,103,2.50,0.70,0.30,0.40,938,-4154.28,225,130,57.78,-1144.85
142,148,3.00,0.70,0.30,0.40,938,-4153.63,225,130,57.78,-1144.85
143,16,1.50,0.70,0.45,0.40,943,-4198.81,227,130,57.27,-1148.46
144,25,1.50,0.80,0.45,0.40,931,-4139.54,223,134,60.09,-1150.16
145,77,2.00,0.90,0.30,0.55,902,-4270.76,219,97,44.29,-1152.45
146,167,3.00,0.90,0.30,0.55,902,-4257.72,219,97,44.29,-1152.45
147,122,2.50,0.90,0.30,0.55,902,-4264.94,219,97,44.29,-1152.45
148,115,2.50,0.80,0.45,0.40,932,-4119.00,224,135,60.27,-1154.55
149,160,3.00,0.80,0.45,0.40,929,-4178.43,224,135,60.27,-1155.25
150,61,2.00,0.70,0.45,0.40,941,-4227.21,227,131,57.71,-1157.58
151,151,3.00,0.70,0.45,0.40,942,-4166.52,227,131,57.71,-1159.30
152,70,2.00,0.80,0.45,0.40,932,-4140.26,224,135,60.27,-1161.15
153,125,2.50,0.90,0.45,0.55,896,-4062.11,220,96,43.64,-1164.05
154,106,2.50,0.70,0.45,0.40,942,-4169.01,227,131,57.71,-1165.20
155,170,3.00,0.90,0.45,0.55,894,-4133.28,220,96,43.64,-1168.25
156,80,2.00,0.90,0.45,0.55,896,-4042.69,220,96,43.64,-1171.90
157,31,1.50,0.90,0.30,0.40,909,-4266.24,222,137,61.71,-1176.98
158,76,2.00,0.90,0.30,0.40,909,-4288.27,222,137,61.71,-1189.95
159,166,3.00,0.90,0.30,0.40,909,-4271.52,222,137,61.71,-1189.95
160,121,2.50,0.90,0.30,0.40,909,-4278.74,222,137,61.71,-1189.95
161,41,1.50,1.00,0.30,0.55,887,-4164.70,217,96,44.24,-1198.72
162,34,1.50,0.90,0.45,0.40,913,-4308.83,224,137,61.16,-1201.50
163,44,1.50,1.00,0.45,0.55,882,-4038.08,218,95,43.58,-1206.20
164,124,2.50,0.90,0.45,0.40,912,-4247.68,224,137,61.16,-1209.30
165,131,2.50,1.00,0.30,0.55,887,-4163.42,217,96,44.24,-1209.90
166,86,2.00,1.00,0.30,0.55,888,-4200.65,217,96,44.24,-1209.90
167,176,3.00,1.00,0.30,0.55,887,-4158.75,217,96,44.24,-1209.90
168,169,3.00,0.90,0.45,0.40,912,-4307.73,224,137,61.16,-1213.50
169,40,1.50,1.00,0.30,0.40,899,-4219.75,220,139,63.18,-1214.57
170,79,2.00,0.90,0.45,0.40,914,-4261.78,224,137,61.16,-1216.60
171,88,2.00,1.00,0.45,0.40,904,-4274.60,222,139,62.61,-1221.80
172,130,2.50,1.00,0.30,0.40,898,-4194.47,220,139,63.18,-1222.35
173,85,2.00,1.00,0.30,0.40,899,-4231.70,220,139,63.18,-1222.35
174,175,3.00,1.00,0.30,0.40,898,-4189.80,220,139,63.18,-1222.35
175,43,1.50,1.00,0.45,0.40,904,-4290.43,222,139,62.61,-1223.13
176,133,2.50,1.00,0.45,0.40,900,-4247.93,222,139,62.61,-1224.60
177,178,3.00,1.00,0.45,0.40,902,-4251.95,222,139,62.61,-1224.60
178,134,2.50,1.00,0.45,0.55,878,-4015.18,218,94,43.12,-1229.85
179,179,3.00,1.00,0.45,0.55,879,-4012.05,218,94,43.12,-1229.85
180,89,2.00,1.00,0.45,0.55,882,-4002.80,218,94,43.12,-1230.80
