rank,combo_id,tag,MAX_SPREAD,TRAIL_FRAC,MFE_TRAIL_FRAC,TP_RR,SL_FRAC,n_trades,n_wins,WR_pct,net_usd,gross_usd,cost_usd,mean_net,PF,max_dd_usd,tp_count,trail_count,sl_count,be_count
16,174,0,0.00050,0.400,0.550,2.000,0.800,973,461,47.38,-3661.42,-673.62,2987.80,-3.7630,0.3208,3675.43,15,589,369,0
17,145,0,0.00030,0.400,0.700,2.000,0.800,968,396,40.91,-3663.95,-697.35,2966.60,-3.7851,0.3239,3681.91,16,587,365,0
18,115,0,0.00025,0.400,0.700,2.000,0.800,968,396,40.91,-3664.42,-697.52,2966.90,-3.7856,0.3239,3682.38,16,587,365,0
19,119,0,0.00025,0.550,0.550,2.000,0.800,959,445,46.40,-3668.29,-732.49,2935.80,-3.8251,0.3163,3678.80,33,560,366,0
20,25,0,0.00010,0.400,0.700,2.000,0.800,966,399,41.30,-3669.01,-713.91,2955.10,-3.7981,0.3248,3687.27,16,584,366,0
21,85,0,0.00020,0.400,0.700,2.000,0.800,966,398,41.20,-3670.72,-707.12,2963.60,-3.7999,0.3238,3688.98,16,584,366,0
22,54,0,0.00015,0.400,0.550,2.000,0.800,971,462,47.58,-3671.87,-690.97,2980.90,-3.7815,0.3205,3686.18,15,587,369,0
23,55,0,0.00015,0.400,0.700,2.000,0.800,965,398,41.24,-3696.40,-737.20,2959.20,-3.8305,0.3218,3714.66,16,582,367,0
24,175,0,0.00050,0.400,0.700,2.000,0.800,966,396,40.99,-3713.81,-747.81,2966.00,-3.8445,0.3198,3731.77,15,583,368,0
25,15,0,0.00010,0.250,0.700,2.000,0.800,1007,567,56.31,-3802.90,-723.90,3079.00,-3.7765,0.3263,3819.50,5,613,389,0
26,14,0,0.00010,0.250,0.550,2.000,0.800,1006,574,57.06,-3826.50,-751.30,3075.20,-3.8037,0.3249,3843.10,5,609,392,0
27,23,0,0.00010,0.400,0.400,2.000,0.800,986,590,59.84,-3846.10,-830.00,3016.10,-3.9007,0.3162,3863.41,12,585,389,0
28,143,0,0.00030,0.400,0.400,2.000,0.800,988,591,59.82,-3846.15,-820.55,3025.60,-3.8929,0.3165,3863.16,12,587,389,0
29,113,0,0.00025,0.400,0.400,2.000,0.800,988,591,59.82,-3849.25,-821.15,3028.10,-3.8960,0.3164,3866.26,12,587,389,0
30,13,0,0.00010,0.250,0.400,2.000,0.800,1007,602,59.78,-3866.15,-788.35,3077.80,-3.8393,0.3227,3882.75,5,608,394,0
31,74,0,0.00020,0.250,0.550,2.000,0.800,1006,572,56.86,-3868.60,-784.80,3083.80,-3.8455,0.3227,3885.20,5,606,395,0
32,75,0,0.00020,0.250,0.700,2.000,0.800,1007,564,56.01,-3869.95,-782.55,3087.40,-3.8430,0.3198,3886.55,5,610,392,0
33,134,0,0.00030,0.250,0.550,2.000,0.800,1008,573,56.85,-3870.60,-781.50,3089.10,-3.8399,0.3214,3886.90,5,609,394,0
34,45,0,0.00015,0.250,0.700,2.000,0.800,1006,565,56.16,-3872.50,-787.30,3085.20,-3.8494,0.3188,3889.10,5,610,391,0
35,135,0,0.00030,0.250,0.700,2.000,0.800,1009,563,55.80,-3874.80,-781.70,3093.10,-3.8402,0.3183,3891.10,5,613,391,0
36,83,0,0.00020,0.400,0.400,2.000,0.800,989,591,59.76,-3875.10,-843.90,3031.20,-3.9182,0.3147,3892.41,12,586,391,0
37,164,0,0.00050,0.250,0.550,2.000,0.800,1007,572,56.80,-3876.30,-787.60,3088.70,-3.8494,0.3218,3892.60,5,607,395,0
38,173,0,0.00050,0.400,0.400,2.000,0.800,987,589,59.68,-3876.40,-849.90,3026.50,-3.9275,0.3142,3893.41,12,584,391,0
39,44,0,0.00015,0.250,0.550,2.000,0.800,1005,573,57.01,-3876.85,-795.65,3081.20,-3.8576,0.3206,3893.45,5,606,394,0
40,165,0,0.00050,0.250,0.700,2.000,0.800,1008,563,55.85,-3880.20,-787.50,3092.70,-3.8494,0.3187,3896.50,5,611,392,0
41,104,0,0.00025,0.250,0.550,2.000,0.800,1007,572,56.80,-3886.30,-797.40,3088.90,-3.8593,0.3213,3902.60,5,607,395,0
42,123,0,0.00030,0.150,0.400,2.000,0.800,1027,607,59.10,-3887.96,-742.96,3145.00,-3.7857,0.3424,3901.86,4,615,408,0
43,105,0,0.00025,0.250,0.700,2.000,0.800,1008,563,55.85,-3888.10,-795.30,3092.80,-3.8572,0.3186,3904.40,5,611,392,0
44,93,0,0.00025,0.150,0.400,2.000,0.800,1027,607,59.10,-3891.06,-743.56,3147.50,-3.7888,0.3422,3904.96,4,615,408,0
45,63,0,0.00020,0.150,0.400,2.000,0.800,1026,607,59.16,-3891.21,-747.51,3143.70,-3.7926,0.3424,3905.41,4,613,409,0
46,118,0,0.00025,0.550,0.400,2.000,0.800,987,584,59.17,-3891.84,-868.24,3023.60,-3.9431,0.3151,3907.45,22,573,392,0
47,148,0,0.00030,0.550,0.400,2.000,0.800,988,585,59.21,-3897.99,-872.99,3025.00,-3.9453,0.3139,3913.60,22,574,392,0
48,153,0,0.00050,0.150,0.400,2.000,0.800,1025,607,59.22,-3902.16,-761.86,3140.30,-3.8070,0.3409,3916.06,4,612,409,0
49,53,0,0.00015,0.400,0.400,2.000,0.800,988,590,59.72,-3909.70,-881.60,3028.10,-3.9572,0.3113,3927.01,12,584,392,0
50,65,0,0.00020,0.150,0.700,2.000,0.800,1027,600,58.42,-3918.31,-773.11,3145.20,-3.8153,0.3390,3932.51,4,614,409,0
51,28,0,0.00010,0.550,0.400,2.000,0.800,987,585,59.27,-3924.67,-910.47,3014.20,-3.9764,0.3108,3940.58,21,573,393,0
52,64,0,0.00020,0.150,0.550,2.000,0.800,1026,602,58.67,-3926.42,-783.92,3142.50,-3.8269,0.3372,3940.62,3,614,409,0
53,125,0,0.00030,0.150,0.700,2.000,0.800,1028,599,58.27,-3929.11,-781.61,3147.50,-3.8221,0.3381,3943.01,4,615,409,0
54,95,0,0.00025,0.150,0.700,2.000,0.800,1028,599,58.27,-3932.21,-782.21,3150.00,-3.8251,0.3379,3946.11,4,615,409,0
55,103,0,0.00025,0.250,0.400,2.000,0.800,1009,599,59.37,-3933.15,-838.65,3094.50,-3.8981,0.3198,3949.45,5,606,398,0
56,33,0,0.00015,0.150,0.400,2.000,0.800,1025,607,59.22,-3935.01,-798.21,3136.80,-3.8390,0.3392,3949.21,4,610,411,0
57,124,0,0.00030,0.150,0.550,2.000,0.800,1027,601,58.52,-3937.22,-792.42,3144.80,-3.8337,0.3363,3951.12,3,615,409,0
58,43,0,0.00015,0.250,0.400,2.000,0.800,1008,600,59.52,-3939.75,-850.05,3089.70,-3.9085,0.3182,3956.35,5,605,398,0
59,94,0,0.00025,0.150,0.550,2.000,0.800,1027,601,58.52,-3940.32,-793.02,3147.30,-3.8367,0.3361,3954.22,3,615,409,0
60,133,0,0.00030,0.250,0.400,2.000,0.800,1010,600,59.41,-3940.80,-845.50,3095.30,-3.9018,0.3185,3957.10,5,607,398,0
61,155,0,0.00050,0.150,0.700,2.000,0.800,1026,599,58.38,-3943.31,-800.51,3142.80,-3.8434,0.3366,3957.21,4,612,410,0
62,154,0,0.00050,0.150,0.550,2.000,0.800,1025,601,58.63,-3951.42,-811.32,3140.10,-3.8550,0.3348,3965.32,3,612,410,0
63,58,0,0.00015,0.550,0.400,2.000,0.800,987,583,59.07,-3951.44,-927.44,3024.00,-4.0035,0.3102,3967.35,22,570,395,0
64,163,0,0.00050,0.250,0.400,2.000,0.800,1009,599,59.37,-3955.85,-859.85,3096.00,-3.9206,0.3174,3972.15,5,605,399,0
65,88,0,0.00020,0.550,0.400,2.000,0.800,989,584,59.05,-3956.52,-926.92,3029.60,-4.0005,0.3091,3972.43,21,573,395,0
66,73,0,0.00020,0.250,0.400,2.000,0.800,1010,599,59.31,-3956.80,-859.70,3097.10,-3.9176,0.3185,3973.40,5,605,400,0
67,18,0,0.00010,0.300,0.400,2.000,0.800,997,591,59.28,-3969.37,-917.67,3051.70,-3.9813,0.3084,3984.27,6,595,396,0
68,178,0,0.00050,0.550,0.400,2.000,0.800,987,583,59.07,-3971.17,-944.57,3026.60,-4.0235,0.3063,3986.78,21,571,395,0
69,35,0,0.00015,0.150,0.700,2.000,0.800,1026,599,58.38,-3975.66,-836.46,3139.20,-3.8749,0.3350,3989.86,4,610,412,0
70,34,0,0.00015,0.150,0.550,2.000,0.800,1025,601,58.63,-3983.77,-847.27,3136.50,-3.8866,0.3332,3997.97,3,610,412,0
71,19,0,0.00010,0.300,0.550,2.000,0.800,994,529,53.22,-3995.00,-953.20,3041.80,-4.0191,0.3038,4009.50,5,593,396,0
72,3,0,0.00010,0.150,0.400,2.000,0.800,1026,605,58.97,-4002.63,-869.43,3133.20,-3.9012,0.3344,4016.83,4,609,413,0
73,138,0,0.00030,0.300,0.400,2.000,0.800,1000,590,59.00,-4019.42,-953.62,3065.80,-4.0194,0.3061,4034.02,6,595,399,0
74,122,0,0.00030,0.150,0.300,2.000,0.800,1026,603,58.77,-4020.42,-877.92,3142.50,-3.9185,0.3297,4034.32,3,612,411,0
75,62,0,0.00020,0.150,0.300,2.000,0.800,1025,603,58.83,-4022.47,-881.87,3140.60,-3.9244,0.3299,4036.67,3,610,412,0
76,108,0,0.00025,0.300,0.400,2.000,0.800,1000,590,59.00,-4023.32,-952.82,3070.50,-4.0233,0.3059,4037.92,6,595,399,0
77,92,0,0.00025,0.150,0.300,2.000,0.800,1026,603,58.77,-4023.52,-878.52,3145.00,-3.9216,0.3295,4037.42,3,612,411,0
78,48,0,0.00015,0.300,0.400,2.000,0.800,999,591,59.16,-4025.72,-960.02,3065.70,-4.0297,0.3050,4040.62,6,594,399,0
79,152,0,0.00050,0.150,0.300,2.000,0.800,1024,603,58.89,-4034.37,-896.67,3137.70,-3.9398,0.3283,4048.27,3,609,412,0
80,168,0,0.00050,0.300,0.400,2.000,0.800,999,589,58.96,-4034.87,-967.97,3066.90,-4.0389,0.3049,4049.47,6,593,400,0
81,79,0,0.00020,0.300,0.550,2.000,0.800,995,529,53.17,-4037.20,-984.40,3052.80,-4.0575,0.3016,4051.70,5,591,399,0
82,129,0,0.00030,0.200,0.550,2.000,0.800,1018,583,57.27,-4040.82,-922.72,3118.10,-3.9694,0.3210,4056.32,3,606,409,0
83,5,0,0.00010,0.150,0.700,2.000,0.800,1027,597,58.13,-4042.68,-907.38,3135.30,-3.9364,0.3304,4056.88,4,609,414,0
84,72,0,0.00020,0.250,0.300,2.000,0.800,1020,601,58.92,-4043.85,-917.65,3126.20,-3.9646,0.3176,4058.95,6,606,408,0
85,102,0,0.00025,0.250,0.300,2.000,0.800,1021,601,58.86,-4044.30,-912.90,3131.40,-3.9611,0.3173,4059.10,6,608,407,0
86,49,0,0.00015,0.300,0.550,2.000,0.800,994,530,53.32,-4044.50,-995.10,3049.40,-4.0689,0.2996,4059.00,5,591,398,0
87,99,0,0.00025,0.200,0.550,2.000,0.800,1018,583,57.27,-4045.52,-923.32,3122.20,-3.9740,0.3208,4061.02,3,606,409,0
88,0,1,0.00020,0.300,0.400,2.000,0.800,1001,590,58.94,-4047.47,-974.37,3073.10,-4.0434,0.3045,4062.37,6,594,401,0
89,78,0,0.00020,0.300,0.400,2.000,0.800,1001,590,58.94,-4047.47,-974.37,3073.10,-4.0434,0.3045,4062.37,6,594,401,0
90,132,0,0.00030,0.250,0.300,2.000,0.800,1022,602,58.90,-4049.80,-917.40,3132.40,-3.9626,0.3164,4064.60,6,609,407,0
91,4,0,0.00010,0.150,0.550,2.000,0.800,1026,599,58.38,-4051.39,-918.49,3132.90,-3.9487,0.3285,4065.59,3,609,414,0
92,139,0,0.00030,0.300,0.550,2.000,0.800,996,528,53.01,-4055.35,-1003.15,3052.20,-4.0716,0.2992,4069.55,5,592,399,0
93,128,0,0.00030,0.200,0.400,2.000,0.800,1018,598,58.74,-4059.22,-943.12,3116.10,-3.9874,0.3223,4074.72,3,604,411,0
94,169,0,0.00050,0.300,0.550,2.000,0.800,995,527,52.96,-4060.95,-1008.85,3052.10,-4.0814,0.2997,4075.15,5,590,400,0
95,98,0,0.00025,0.200,0.400,2.000,0.800,1018,598,58.74,-4062.32,-943.72,3118.60,-3.9905,0.3222,4077.82,3,604,411,0
96,162,0,0.00050,0.250,0.300,2.000,0.800,1020,601,58.92,-4065.65,-936.85,3128.80,-3.9859,0.3150,4080.45,6,606,408,0
97,42,0,0.00015,0.250,0.300,2.000,0.800,1017,600,59.00,-4066.95,-952.35,3114.60,-3.9990,0.3149,4082.05,6,603,408,0
98,12,0,0.00010,0.250,0.300,2.000,0.800,1018,601,59.04,-4067.17,-956.97,3110.20,-3.9953,0.3149,4082.27,6,605,407,0
99,20,0,0.00010,0.300,0.700,2.000,0.800,994,512,51.51,-4070.75,-1030.95,3039.80,-4.0953,0.2989,4085.25,5,591,398,0
100,109,0,0.00025,0.300,0.550,2.000,0.800,996,528,53.01,-4071.05,-1015.25,3055.80,-4.0874,0.2992,4085.25,5,591,400,0
101,9,0,0.00010,0.200,0.550,2.000,0.800,1017,581,57.13,-4073.09,-963.59,3109.50,-4.0050,0.3201,4088.89,4,602,411,0
102,158,0,0.00050,0.200,0.400,2.000,0.800,1017,597,58.70,-4074.77,-957.57,3117.20,-4.0067,0.3212,4090.27,3,602,412,0
103,8,0,0.00010,0.200,0.400,2.000,0.800,1017,597,58.70,-4075.94,-967.34,3108.60,-4.0078,0.3219,4091.74,4,601,412,0
104,159,0,0.00050,0.200,0.550,2.000,0.800,1016,581,57.19,-4078.07,-961.27,3116.80,-4.0138,0.3184,4093.57,3,602,411,0
105,127,0,0.00030,0.200,0.300,2.000,0.800,1024,599,58.50,-4082.84,-946.54,3136.30,-3.9871,0.3232,4098.64,5,605,414,0
106,97,0,0.00025,0.200,0.300,2.000,0.800,1024,599,58.50,-4085.94,-947.14,3138.80,-3.9902,0.3230,4101.74,5,605,414,0
107,67,0,0.00020,0.200,0.300,2.000,0.800,1023,599,58.55,-4085.99,-951.59,3134.40,-3.9941,0.3232,4102.09,5,603,415,0
108,2,0,0.00010,0.150,0.300,2.000,0.800,1026,602,58.67,-4087.79,-955.29,3132.50,-3.9842,0.3259,4101.99,3,608,415,0
109,32,0,0.00015,0.150,0.300,2.000,0.800,1023,601,58.75,-4090.12,-959.12,3131.00,-3.9982,0.3252,4104.32,3,605,415,0
110,69,0,0.00020,0.200,0.550,2.000,0.800,1018,582,57.17,-4093.87,-971.77,3122.10,-4.0215,0.3180,4109.67,3,603,412,0
111,50,0,0.00015,0.300,0.700,2.000,0.800,993,512,51.56,-4094.20,-1048.90,3045.30,-4.1231,0.2972,4108.70,5,589,399,0
112,157,0,0.00050,0.200,0.300,2.000,0.800,1022,598,58.51,-4099.59,-966.19,3133.40,-4.0113,0.3216,4115.39,5,602,415,0
113,39,0,0.00015,0.200,0.550,2.000,0.800,1018,582,57.17,-4101.87,-979.67,3122.20,-4.0293,0.3169,4117.67,3,603,412,0
114,68,0,0.00020,0.200,0.400,2.000,0.800,1020,598,58.63,-4109.27,-983.97,3125.30,-4.0287,0.3193,4125.07,3,603,414,0
115,140,0,0.00030,0.300,0.700,2.000,0.800,996,510,51.20,-4111.40,-1060.20,3051.20,-4.1279,0.2959,4125.60,5,591,400,0
116,142,0,0.00030,0.400,0.300,2.000,0.800,1014,592,58.38,-4112.06,-1006.46,3105.60,-4.0553,0.3109,4125.16,11,593,410,0
117,110,0,0.00025,0.300,0.700,2.000,0.800,996,510,51.20,-4114.00,-1059.40,3054.60,-4.1305,0.2958,4128.20,5,591,400,0
118,112,0,0.00025,0.400,0.300,2.000,0.800,1014,592,58.38,-4115.96,-1005.66,3110.30,-4.0591,0.3107,4129.06,11,593,410,0
119,82,0,0.00020,0.400,0.300,2.000,0.800,1013,592,58.44,-4118.26,-1012.26,3106.00,-4.0654,0.3105,4131.66,11,591,411,0
120,80,0,0.00020,0.300,0.700,2.000,0.800,995,511,51.36,-4122.00,-1067.70,3054.30,-4.1427,0.2956,4136.50,5,589,401,0
121,130,0,0.00030,0.200,0.700,2.000,0.800,1016,575,56.59,-4127.57,-1017.87,3109.70,-4.0626,0.3119,4143.07,3,602,411,0
122,172,0,0.00050,0.400,0.300,2.000,0.800,1012,591,58.40,-4130.26,-1026.96,3103.30,-4.0813,0.3091,4143.36,11,590,411,0
123,100,0,0.00025,0.200,0.700,2.000,0.800,1016,575,56.59,-4130.97,-1018.47,3112.50,-4.0659,0.3118,4146.47,3,602,411,0
124,117,0,0.00025,0.550,0.300,2.000,0.800,1011,588,58.16,-4131.70,-1032.90,3098.80,-4.0867,0.3081,4144.50,12,589,410,0
125,87,0,0.00020,0.550,0.300,2.000,0.800,1010,588,58.22,-4134.00,-1039.50,3094.50,-4.0931,0.3079,4147.10,12,587,411,0
126,147,0,0.00030,0.550,0.300,2.000,0.800,1012,589,58.20,-4136.50,-1036.70,3099.80,-4.0875,0.3073,4149.30,12,590,410,0
127,22,0,0.00010,0.400,0.300,2.000,0.800,1010,591,58.51,-4137.18,-1048.48,3088.70,-4.0962,0.3084,4150.58,11,589,410,0
128,52,0,0.00015,0.400,0.300,2.000,0.800,1010,591,58.51,-4141.86,-1047.46,3094.40,-4.1009,0.3078,4155.26,11,588,411,0
129,38,0,0.00015,0.200,0.400,2.000,0.800,1019,597,58.59,-4142.07,-1020.17,3121.90,-4.0648,0.3165,4157.87,3,601,415,0
130,170,0,0.00050,0.300,0.700,2.000,0.800,994,509,51.21,-4147.10,-1096.80,3050.30,-4.1721,0.2935,4161.30,5,587,402,0
131,177,0,0.00050,0.550,0.300,2.000,0.800,1010,588,58.22,-4154.30,-1057.20,3097.10,-4.1132,0.3055,4167.10,12,587,411,0
132,57,0,0.00015,0.550,0.300,2.000,0.800,1007,587,58.29,-4156.80,-1073.90,3082.90,-4.1279,0.3053,4169.90,12,584,411,0
133,27,0,0.00010,0.550,0.300,2.000,0.800,1008,588,58.33,-4157.62,-1077.62,3080.00,-4.1246,0.3051,4170.72,12,586,410,0
134,66,0,0.00020,0.200,0.200,2.000,0.800,1030,603,58.54,-4158.57,-1003.57,3155.00,-4.0374,0.3238,4176.37,2,609,419,0
135,10,0,0.00010,0.200,0.700,2.000,0.800,1015,573,56.45,-4160.34,-1058.44,3101.90,-4.0989,0.3110,4176.14,4,598,413,0
136,37,0,0.00015,0.200,0.300,2.000,0.800,1021,596,58.37,-4161.04,-1033.74,3127.30,-4.0755,0.3176,4177.14,5,598,418,0
137,160,0,0.00050,0.200,0.700,2.000,0.800,1014,573,56.51,-4164.62,-1057.92,3106.70,-4.1071,0.3094,4180.12,3,598,413,0
138,76,0,0.00020,0.300,0.200,2.000,0.800,1030,603,58.54,-4166.46,-1010.16,3156.30,-4.0451,0.3238,4183.36,6,605,419,0
139,86,0,0.00020,0.550,0.200,2.000,0.800,1030,603,58.54,-4167.66,-1011.36,3156.30,-4.0463,0.3236,4184.56,6,605,419,0
140,81,0,0.00020,0.400,0.200,2.000,0.800,1030,603,58.54,-4167.66,-1011.36,3156.30,-4.0463,0.3236,4184.56,6,605,419,0
141,7,0,0.00010,0.200,0.300,2.000,0.800,1020,594,58.24,-4173.71,-1057.81,3115.90,-4.0919,0.3170,4189.81,5,597,418,0
142,61,0,0.00020,0.150,0.200,2.000,0.800,1025,598,58.34,-4175.97,-1035.27,3140.70,-4.0741,0.3213,4190.47,2,604,419,0
143,126,0,0.00030,0.200,0.200,2.000,0.800,1030,602,58.45,-4176.17,-1020.67,3155.50,-4.0545,0.3221,4193.67,2,609,419,0
144,71,0,0.00020,0.250,0.200,2.000,0.800,1030,603,58.54,-4176.65,-1020.55,3156.10,-4.0550,0.3220,4193.95,4,607,419,0
145,70,0,0.00020,0.200,0.700,2.000,0.800,1016,574,56.50,-4179.32,-1066.92,3112.40,-4.1135,0.3091,4195.12,3,599,414,0
146,136,0,0.00030,0.300,0.200,2.000,0.800,1030,602,58.45,-4183.56,-1026.96,3156.60,-4.0617,0.3221,4200.16,6,605,419,0
147,141,0,0.00030,0.400,0.200,2.000,0.800,1030,602,58.45,-4184.76,-1028.16,3156.60,-4.0629,0.3219,4201.36,6,605,419,0
148,146,0,0.00030,0.550,0.200,2.000,0.800,1030,602,58.45,-4184.76,-1028.16,3156.60,-4.0629,0.3219,4201.36,6,605,419,0
149,40,0,0.00015,0.200,0.700,2.000,0.800,1016,574,56.50,-4187.52,-1073.82,3113.70,-4.1216,0.3080,4203.32,3,599,414,0
150,156,0,0.00050,0.200,0.200,2.000,0.800,1029,602,58.50,-4190.97,-1038.27,3152.70,-4.0729,0.3210,4208.47,2,607,420,0
151,137,0,0.00030,0.300,0.300,2.000,0.800,1017,590,58.01,-4191.97,-1075.37,3116.60,-4.1219,0.3067,4206.27,8,594,415,0
152,131,0,0.00030,0.250,0.200,2.000,0.800,1030,602,58.45,-4193.75,-1037.35,3156.40,-4.0716,0.3204,4210.75,4,607,419,0
153,121,0,0.00030,0.150,0.200,2.000,0.800,1025,597,58.24,-4194.07,-1052.87,3141.20,-4.0918,0.3195,4208.27,2,604,419,0
154,107,0,0.00025,0.300,0.300,2.000,0.800,1017,590,58.01,-4195.87,-1074.57,3121.30,-4.1257,0.3065,4210.17,8,594,415,0
155,77,0,0.00020,0.300,0.300,2.000,0.800,1016,590,58.07,-4197.87,-1080.87,3117.00,-4.1318,0.3064,4212.47,8,592,416,0
156,166,0,0.00050,0.300,0.200,2.000,0.800,1029,602,58.50,-4198.46,-1044.46,3154.00,-4.0801,0.3210,4215.06,6,603,420,0
157,171,0,0.00050,0.400,0.200,2.000,0.800,1029,602,58.50,-4199.66,-1045.66,3154.00,-4.0813,0.3208,4216.26,6,603,420,0
158,176,0,0.00050,0.550,0.200,2.000,0.800,1029,602,58.50,-4199.66,-1045.66,3154.00,-4.0813,0.3208,4216.26,6,603,420,0
159,96,0,0.00025,0.200,0.200,2.000,0.800,1030,602,58.45,-4200.12,-1042.52,3157.60,-4.0778,0.3209,4217.62,2,608,420,0
160,106,0,0.00025,0.300,0.200,2.000,0.800,1030,602,58.45,-4207.51,-1048.81,3158.70,-4.0850,0.3210,4224.11,6,604,420,0
161,161,0,0.00050,0.250,0.200,2.000,0.800,1029,602,58.50,-4208.65,-1054.85,3153.80,-4.0900,0.3193,4225.65,4,605,420,0
162,111,0,0.00025,0.400,0.200,2.000,0.800,1030,602,58.45,-4208.71,-1050.01,3158.70,-4.0861,0.3208,4225.31,6,604,420,0
163,116,0,0.00025,0.550,0.200,2.000,0.800,1030,602,58.45,-4208.71,-1050.01,3158.70,-4.0861,0.3208,4225.31,6,604,420,0
164,151,0,0.00050,0.150,0.200,2.000,0.800,1024,597,58.30,-4208.87,-1070.47,3138.40,-4.1102,0.3184,4223.07,2,602,420,0
165,167,0,0.00050,0.300,0.300,2.000,0.800,1015,589,58.03,-4210.17,-1095.87,3114.30,-4.1480,0.3050,4224.47,8,591,416,0
166,17,0,0.00010,0.300,0.300,2.000,0.800,1013,589,58.14,-4214.54,-1116.54,3098.00,-4.1605,0.3047,4229.14,8,590,415,0
167,101,0,0.00025,0.250,0.200,2.000,0.800,1030,602,58.45,-4217.70,-1059.20,3158.50,-4.0949,0.3193,4234.70,4,606,420,0
168,91,0,0.00025,0.150,0.200,2.000,0.800,1025,597,58.24,-4217.92,-1074.82,3143.10,-4.1150,0.3184,4232.12,2,603,420,0
169,47,0,0.00015,0.300,0.300,2.000,0.800,1013,589,58.14,-4222.97,-1117.57,3105.40,-4.1688,0.3034,4237.57,8,589,416,0
170,36,0,0.00015,0.200,0.200,2.000,0.800,1030,603,58.54,-4224.27,-1069.27,3155.00,-4.1012,0.3194,4242.07,2,606,422,0
171,46,0,0.00015,0.300,0.200,2.000,0.800,1030,603,58.54,-4231.66,-1075.56,3156.10,-4.1084,0.3195,4248.56,6,602,422,0
172,56,0,0.00015,0.550,0.200,2.000,0.800,1030,603,58.54,-4232.86,-1076.76,3156.10,-4.1096,0.3193,4249.76,6,602,422,0
173,51,0,0.00015,0.400,0.200,2.000,0.800,1030,603,58.54,-4232.86,-1076.76,3156.10,-4.1096,0.3193,4249.76,6,602,422,0
174,6,0,0.00010,0.200,0.200,2.000,0.800,1029,600,58.31,-4240.82,-1096.72,3144.10,-4.1213,0.3181,4258.62,2,605,422,0
175,1,0,0.00010,0.150,0.200,2.000,0.800,1025,596,58.15,-4241.57,-1106.97,3134.60,-4.1381,0.3167,4256.07,2,602,421,0
176,41,0,0.00015,0.250,0.200,2.000,0.800,1030,603,58.54,-4241.85,-1085.95,3155.90,-4.1183,0.3178,4259.15,4,604,422,0
177,31,0,0.00015,0.150,0.200,2.000,0.800,1025,598,58.34,-4242.27,-1101.57,3140.70,-4.1388,0.3168,4256.77,2,601,422,0
178,16,0,0.00010,0.300,0.200,2.000,0.800,1029,599,58.21,-4263.26,-1117.66,3145.60,-4.1431,0.3173,4280.16,6,600,423,0
179,21,0,0.00010,0.400,0.200,2.000,0.800,1029,599,58.21,-4264.46,-1118.86,3145.60,-4.1443,0.3171,4281.36,6,600,423,0
180,26,0,0.00010,0.550,0.200,2.000,0.800,1029,599,58.21,-4264.46,-1118.86,3145.60,-4.1443,0.3171,4281.36,6,600,423,0
