bar_start_ms,open,high,low,close
1727960400000,2642.41000,2649.68550,2641.65500,2649.48500
1727962200000,2649.48350,2651.45550,2645.51500,2647.54000
1727964000000,2647.47650,2654.53150,2638.58400,2649.50000
1727965800000,2649.50500,2652.52050,2646.22500,2650.28150
1727967600000,2650.27000,2653.34500,2649.48500,2651.50350
1727969400000,2651.49550,2654.64500,2648.06550,2648.93350
1727971200000,2648.96850,2653.69150,2648.63350,2653.06000
1727973000000,2653.08000,2661.23150,2652.35000,2660.09350
1727974800000,2660.12350,2662.17150,2658.59650,2659.00500
1727976600000,2659.01650,2660.65000,2655.22950,2656.79000
1727978400000,2656.84000,2659.43500,2655.46500,2658.75000
1727980200000,2658.80000,2659.77000,2657.23150,2657.58150
1727982000000,2657.58500,2659.50450,2657.02650,2658.87000
1727983800000,2658.87500,2659.16650,2657.31150,2657.99350
1727985600000,2658.01000,2658.01350,2656.45150,2657.09500
1727987400000,2657.08000,2657.49150,2655.88000,2656.13000
1727992800000,2655.81150,2657.29650,2654.51000,2655.32500
1727994600000,2655.23500,2656.36000,2655.21500,2656.05950
1727996400000,2655.93450,2656.66150,2655.01500,2655.21150
1727998200000,2655.23450,2655.96650,2654.38650,2655.84000
1728000000000,2655.87000,2657.19500,2655.59650,2656.90500
1728001800000,2656.87500,2657.58950,2655.53000,2657.32650
1728003600000,2657.33150,2658.55150,2656.87000,2657.52650
1728005400000,2657.52950,2659.24150,2656.90000,2658.32000
1728007200000,2658.31950,2661.61150,2658.06650,2661.36450
1728009000000,2661.35450,2663.61000,2660.78000,2662.10650
1728010800000,2662.13650,2663.68800,2661.87650,2663.62000
1728012600000,2663.62500,2663.63000,2660.87050,2661.21000
1728014400000,2661.18000,2663.72050,2660.74050,2663.04000
1728016200000,2663.01000,2665.90500,2662.81650,2664.11500
1728018000000,2664.11450,2667.32150,2664.11450,2666.82950
1728019800000,2666.80450,2667.88000,2666.35000,2667.48650
1728021600000,2667.49500,2667.70000,2664.17000,2664.51000
1728023400000,2664.39500,2665.72000,2659.75650,2660.30150
1728025200000,2660.24000,2663.14450,2658.81000,2662.11150
1728027000000,2662.12650,2663.21500,2660.63000,2661.07150
1728028800000,2661.06000,2661.61000,2659.55500,2660.34650
1728030600000,2660.33650,2661.35000,2658.91500,2659.08450
1728032400000,2659.10450,2660.26500,2657.53000,2657.74000
1728034200000,2657.80050,2659.68550,2656.95000,2657.56500
1728036000000,2657.53000,2660.10650,2657.28000,2659.29500
1728037800000,2659.29000,2660.78000,2658.11500,2658.33000
1728039600000,2658.24500,2659.70350,2657.46000,2659.35350
1728041400000,2659.36050,2662.64500,2659.33850,2661.40000
1728043200000,2661.39000,2661.55000,2656.07550,2657.15500
1728045000000,2657.25500,2657.46500,2632.18700,2638.95000
1728046800000,2638.96850,2654.17650,2637.57950,2651.52450
1728048600000,2651.62850,2655.20800,2648.44000,2651.96000
1728050400000,2651.99500,2653.56000,2646.56700,2650.48350
1728052200000,2650.47300,2661.21350,2648.60650,2658.45000
1728054000000,2658.46500,2670.20350,2657.16650,2658.08150
1728055800000,2658.08950,2658.43450,2647.86500,2653.24350
1728057600000,2653.25500,2653.89350,2648.00350,2648.92850
1728059400000,2648.93350,2649.52000,2641.93650,2645.37150
1728061200000,2645.41000,2648.41500,2643.99550,2647.98350
1728063000000,2647.98500,2650.51500,2645.66000,2650.11800
1728064800000,2650.13450,2650.80850,2644.43850,2646.65350
1728066600000,2646.64350,2648.30150,2645.49950,2645.69150
1728068400000,2645.68150,2648.41150,2642.81500,2647.91150
1728070200000,2647.88000,2652.17350,2647.51500,2651.65500
1728259200000,2650.29500,2651.14500,2648.55550,2651.01000
1728261000000,2651.01500,2651.15000,2647.87850,2649.38950
1728262800000,2649.46000,2651.98150,2648.30000,2649.00050
1728264600000,2648.99850,2651.33000,2643.93150,2646.27550
1728266400000,2646.26000,2648.73500,2645.83650,2646.76000
1728268200000,2646.77000,2648.37000,2645.34150,2645.34150
1728270000000,2645.32000,2646.79850,2644.62000,2645.59500
1728271800000,2645.61000,2647.50500,2643.96500,2647.47850
1728273600000,2647.48000,2648.70500,2647.20550,2647.64000
1728275400000,2647.67000,2648.29000,2646.43550,2646.82500
1728277200000,2646.77150,2646.80000,2643.02500,2643.37500
1728279000000,2643.40000,2644.13500,2640.05350,2640.73350
1728280800000,2640.83850,2643.75500,2639.81350,2641.33500
1728282600000,2641.30500,2643.95500,2641.17850,2643.28000
1728284400000,2643.25000,2646.67950,2642.12500,2645.35150
1728286200000,2645.29450,2652.86850,2645.27950,2652.10500
1728288000000,2652.14500,2656.40650,2651.74000,2653.36350
1728289800000,2653.35500,2654.90000,2651.70550,2652.29850
1728291600000,2652.39000,2653.04500,2650.76850,2651.58500
1728293400000,2651.57500,2657.32500,2651.10000,2656.65800
1728295200000,2656.63450,2658.57500,2655.71500,2658.35000
1728297000000,2658.38500,2658.53650,2655.28000,2655.45500
1728298800000,2655.44500,2659.26500,2655.17500,2656.92950
1728300600000,2656.92500,2659.67500,2656.84000,2657.03000
1728302400000,2657.05150,2659.34500,2648.60500,2649.63500
1728304200000,2649.62000,2649.64000,2637.88150,2640.07850
1728306000000,2640.12000,2653.87500,2639.79050,2647.23500
1728307800000,2647.18500,2648.81000,2642.31650,2642.79000
1728309600000,2642.81500,2646.22000,2640.45500,2643.02000
1728311400000,2643.10350,2647.85050,2640.60000,2640.93650
1728313200000,2640.92500,2646.68150,2639.19850,2646.04350
1728315000000,2646.05000,2650.21000,2645.54000,2645.74150
1728316800000,2645.75150,2646.84150,2642.70000,2643.47000
1728318600000,2643.46850,2646.97350,2643.13500,2646.91350
1728320400000,2646.72850,2647.23000,2644.22850,2646.14200
1728322200000,2646.13150,2648.83500,2646.10850,2648.00850
1728324000000,2648.01350,2648.16850,2644.85950,2645.09450
1728325800000,2645.07450,2646.83500,2639.71500,2640.93550
1728327600000,2640.92050,2644.13000,2640.47000,2643.84000
1728329400000,2643.83350,2644.77150,2642.62000,2643.31150
1728331200000,2643.25500,2643.75000,2641.84150,2642.86650
1728333000000,2642.87500,2643.25500,2642.34850,2642.87000
1728338400000,2642.61500,2645.07500,2641.89000,2644.65500
1728340200000,2644.62000,2649.24000,2643.16850,2644.28650
1728342000000,2644.33000,2644.95150,2642.90000,2643.90500
1728343800000,2643.96500,2644.59000,2642.50500,2643.08000
1728345600000,2643.10000,2644.18450,2642.45500,2642.78950
1728347400000,2642.84500,2645.19000,2642.38000,2643.69000
1728349200000,2643.61000,2643.79000,2638.33850,2640.90000
1728351000000,2640.90500,2647.99500,2637.96150,2647.32500
1728352800000,2647.31850,2648.31550,2637.73950,2638.12450
1728354600000,2638.11950,2638.76050,2633.84500,2635.78000
1728356400000,2635.64950,2643.58150,2635.30650,2641.81000
1728358200000,2641.75000,2645.82500,2641.74000,2643.01500
1728360000000,2642.99000,2643.81500,2641.40000,2642.53000
1728361800000,2642.53500,2643.60000,2641.51000,2643.14000
1728363600000,2643.12000,2644.75850,2641.63000,2642.84000
1728365400000,2642.87000,2646.40500,2642.10500,2645.07850
1728367200000,2645.07000,2646.50500,2641.12500,2641.12500
1728369000000,2641.12350,2642.19500,2635.74850,2636.43500
1728370800000,2636.41500,2638.20000,2631.24000,2634.91050
1728372600000,2634.95850,2638.53350,2632.44550,2634.03050
1728374400000,2634.05050,2635.78850,2628.59500,2635.64650
1728376200000,2635.63500,2640.39000,2635.63500,2637.99000
1728378000000,2638.01500,2639.22000,2635.81650,2637.69000
1728379800000,2637.69500,2642.03500,2637.26500,2641.54350
1728381600000,2641.53850,2642.13350,2639.81850,2641.09350
1728383400000,2641.11500,2647.50350,2640.88500,2646.34350
1728385200000,2646.38550,2650.70050,2646.31850,2648.51000
1728387000000,2648.51500,2652.02000,2648.26950,2650.81000
1728388800000,2650.90500,2652.99350,2648.50150,2648.91000
1728390600000,2648.92000,2649.66950,2639.73500,2645.95500
1728392400000,2645.94500,2647.68350,2636.77150,2639.29550
1728394200000,2639.31550,2641.84500,2636.72500,2639.70850
1728396000000,2639.71350,2640.48000,2626.17450,2627.73000
1728397800000,2627.72500,2628.24000,2619.85150,2621.00150
1728399600000,2621.12500,2621.13500,2609.46500,2609.57000
1728401400000,2609.55000,2615.45000,2604.78450,2613.05000
1728403200000,2613.03000,2616.27350,2611.56850,2613.58850
1728405000000,2613.66550,2614.21150,2606.77050,2609.08050
1728406800000,2609.10050,2618.18850,2605.51000,2616.50500
1728408600000,2616.46500,2617.32000,2614.03000,2614.61150
1728410400000,2614.60650,2616.36000,2613.93000,2615.78850
1728412200000,2615.79350,2617.07500,2614.67850,2615.80150
1728414000000,2615.77500,2618.02500,2614.99650,2615.51000
1728415800000,2615.51500,2623.66000,2615.49500,2622.98000
1728417600000,2623.02500,2623.19850,2621.02000,2623.04350
1728419400000,2623.06500,2623.06500,2619.01000,2621.78000
1728424800000,2621.44650,2622.48500,2620.64450,2621.51500
1728426600000,2621.52500,2622.30450,2621.23000,2622.08000
1728428400000,2622.09850,2623.86500,2621.26000,2623.20500
1728430200000,2623.22000,2623.34000,2621.98000,2622.05500
1728432000000,2622.04000,2623.30500,2621.61000,2622.82500
1728433800000,2622.83500,2622.83500,2621.05150,2621.27650
1728435600000,2621.25500,2624.29500,2619.93500,2620.63000
1728437400000,2620.62500,2623.09150,2618.42500,2620.05150
1728439200000,2620.02500,2620.03000,2616.87350,2618.29000
1728441000000,2618.30000,2620.41500,2617.12950,2618.50200
1728442800000,2618.49550,2618.99850,2615.22350,2618.16000
1728444600000,2618.18500,2618.34950,2614.96500,2617.25500
1728446400000,2617.21500,2618.70350,2616.05550,2617.18550
1728448200000,2617.28050,2617.78050,2615.54550,2616.07350
1728450000000,2616.08500,2622.04850,2615.78850,2621.80850
1728451800000,2621.81000,2624.38500,2619.47000,2619.79000
1728453600000,2619.78000,2619.78000,2613.62500,2615.93850
