ts,o,h,l,c,spr
1779764100,4534.9350,4536.1500,4534.9350,4535.8500,0.4377
1779764160,4535.8200,4536.4435,4534.9450,4535.3700,0.5106
1779764220,4535.4100,4535.7700,4534.7350,4535.1350,0.4974
1779764280,4535.1200,4536.1700,4535.0500,4535.5900,0.4797
1779764340,4535.6050,4537.4750,4535.5400,4537.0650,0.5552
1779764400,4536.9350,4537.8750,4535.9850,4537.3550,0.5422
1779764460,4537.3650,4538.2300,4536.5400,4536.7800,0.5702
1779764520,4536.8800,4537.0850,4535.5850,4536.5400,0.5243
1779764580,4536.4900,4537.2850,4535.9750,4536.9400,0.4493
1779764640,4536.9150,4537.2450,4536.2900,4536.6050,0.5047
1779764700,4536.5250,4537.8350,4535.5050,4537.2050,0.5549
1779764760,4537.1900,4538.8450,4537.1300,4537.9800,0.5453
1779764820,4537.9450,4538.3400,4537.2100,4537.2550,0.5577
1779764880,4537.2250,4537.7300,4537.0850,4537.5600,0.5600
1779764940,4537.5200,4539.0300,4537.2800,4538.6450,0.5438
1779765000,4538.6250,4539.6700,4538.6250,4538.9200,0.5175
1779765060,4538.9000,4539.1500,4538.1650,4538.1650,0.5593
1779765120,4538.1600,4538.1800,4537.5950,4538.0150,0.5637
1779765180,4537.9800,4538.1250,4537.1315,4537.9450,0.5272
1779765240,4537.9300,4538.7850,4537.4550,4538.6400,0.4797
1779765300,4538.8335,4539.0800,4538.6100,4538.8750,0.5044
1779765360,4539.0250,4539.0750,4538.0250,4538.1450,0.5222
1779765420,4538.1350,4538.4500,4537.2750,4537.9350,0.5290
1779765480,4537.8750,4538.4700,4536.6250,4538.0700,0.5010
1779765540,4538.0400,4539.1950,4538.0400,4538.4700,0.5082
1779765600,4538.4850,4538.5700,4537.1650,4537.2450,0.5380
1779765660,4537.2250,4537.6150,4536.5950,4537.5000,0.5218
1779765720,4537.4600,4538.6200,4536.9950,4538.1050,0.4932
1779765780,4538.1200,4538.5350,4538.1200,4538.2550,0.5055
1779765840,4538.2450,4538.5500,4538.0000,4538.3650,0.4876
1779765900,4538.3650,4538.5950,4537.8750,4538.4300,0.4890
1779765960,4538.3800,4539.0950,4536.7200,4537.2450,0.5225
