Omega Sweep Harness S51 X3 -- pairwise 2-factor (490 combos/engine)
ticks: /Users/jo/Tick/duka_ticks/XAUUSD_2024-03_2026-04_combined.csv
n_ticks: 154265439
wall_time: 1235.3s (20.6 min)

========== HBG top-50 by score ==========
combo  min_range max_range sl_frac   tp_rr     trail_frac  trades   wr%  total_pnl   stddev_q      score
383    0.5000    3.0000    79.3701   127.0000  200.0000      382  35.3      -0.44     0.1616    -0.3761
482    0.5000    3.0000    50.0000   127.0000  400.0000      354  21.8      -0.44     0.1619    -0.3769
139    0.7937    3.0000    50.0000   160.0000  200.0000      345  40.9      -0.44     0.1681    -0.3801
145    1.0000    3.0000    50.0000   127.0000  200.0000      336  34.8      -0.44     0.1500    -0.3837
124    0.5000    3.0000    50.0000   127.0000  200.0000      354  35.0      -0.44     0.1409    -0.3865
369    0.5000    3.0000    50.0000   127.0000  200.0000      354  35.0      -0.44     0.1409    -0.3865
479    0.5000    3.0000    50.0000   127.0000  200.0000      354  35.0      -0.44     0.1409    -0.3865
271    0.5000    3.0000    50.0000   127.0000  200.0000      354  35.0      -0.44     0.1409    -0.3865
257    0.5000    1.8899    50.0000   127.0000  200.0000      354  35.0      -0.44     0.1409    -0.3865
264    0.5000    2.3811    50.0000   127.0000  200.0000      354  35.0      -0.44     0.1409    -0.3865
250    0.5000    1.5000    50.0000   127.0000  200.0000      354  35.0      -0.44     0.1409    -0.3865
278    0.5000    3.7798    50.0000   127.0000  200.0000      354  35.0      -0.44     0.1409    -0.3865
195    1.0000    3.0000    50.0000   80.0000   400.0000      336  14.0      -0.43     0.1109    -0.3889
131    0.6300    3.0000    50.0000   127.0000  200.0000      349  34.7      -0.48     0.1826    -0.4022
354    0.5000    3.0000    31.4980   101.0000  200.0000      294  28.2      -0.47     0.1686    -0.4031
349    0.5000    3.0000    25.0000   160.0000  200.0000      262  39.7      -0.45     0.1068    -0.4048
138    0.7937    3.0000    50.0000   127.0000  200.0000      345  34.5      -0.49     0.1898    -0.4120
285    0.5000    4.7622    50.0000   127.0000  200.0000      351  34.8      -0.47     0.1308    -0.4141
363    0.5000    3.0000    39.6850   160.0000  200.0000      324  40.4      -0.47     0.1049    -0.4236
376    0.5000    3.0000    62.9961   127.0000  200.0000      373  34.9      -0.49     0.1463    -0.4241
144    1.0000    3.0000    50.0000   101.0000  200.0000      336  28.9      -0.47     0.1073    -0.4280
193    1.0000    3.0000    50.0000   80.0000   252.0000      336  19.9      -0.46     0.0828    -0.4282
292    0.5000    6.0000    50.0000   127.0000  200.0000      347  34.6      -0.48     0.1255    -0.4291
473    0.5000    3.0000    50.0000   101.0000  252.0000      354  24.3      -0.54     0.2278    -0.4395
390    0.5000    3.0000    100.0000  127.0000  200.0000      388  34.8      -0.51     0.1617    -0.4417
118    0.3969    3.0000    50.0000   160.0000  200.0000      357  40.6      -0.49     0.0746    -0.4579
397    0.5000    3.0000    25.0000   80.0000   317.0000      262  15.3      -0.51     0.1075    -0.4587
117    0.3969    3.0000    50.0000   127.0000  200.0000      357  34.5      -0.51     0.1118    -0.4603
194    1.0000    3.0000    50.0000   80.0000   317.0000      336  16.4      -0.50     0.0905    -0.4626
