event_ts_unix,event_ts_utc,event_utc_weekday,symbol,side,entry_px,tp,sl,verdict,reason
1773735887,"2026-03-17T08:24:47Z","Tue","UK100","SHORT",10332.8000,10208.8064,10374.1312,"BLOCKED","min_breakout_gate"
1773735889,"2026-03-17T08:24:49Z","Tue","ESTX50","SHORT",5727.3500,5658.6218,5750.2594,"BLOCKED","min_breakout_gate"
1773735949,"2026-03-17T08:25:49Z","Tue","EURUSD","LONG",1.1496,1.1505,1.1491,"BLOCKED","momentum_gate"
1773735955,"2026-03-17T08:25:55Z","Tue","USOIL.F","SHORT",97.4005,95.9395,97.8875,"BLOCKED","min_breakout_gate"
1773735976,"2026-03-17T08:26:16Z","Tue","USOIL.F","SHORT",97.4255,95.9641,97.9126,"BLOCKED","momentum_gate"
1773736182,"2026-03-17T08:29:42Z","Tue","UK100","LONG",10330.7000,10454.6684,10289.3772,"BLOCKED","min_breakout_gate"
1773736189,"2026-03-17T08:29:49Z","Tue","NAS100","SHORT",24529.0000,24234.6520,24627.1160,"BLOCKED","min_breakout_gate"
1773736192,"2026-03-17T08:29:52Z","Tue","USTEC.F","SHORT",24543.1750,24248.6569,24641.3477,"BLOCKED","min_breakout_gate"
1773736201,"2026-03-17T08:30:01Z","Tue","NAS100","LONG",24533.1500,24827.5478,24435.0174,"BLOCKED","min_breakout_gate"
1773736201,"2026-03-17T08:30:01Z","Tue","USTEC.F","LONG",24550.4250,24845.0301,24452.2233,"BLOCKED","min_breakout_gate"
1773736241,"2026-03-17T08:30:41Z","Tue","USTEC.F","SHORT",24547.1700,24252.6040,24645.3587,"BLOCKED","min_breakout_gate"
1773736258,"2026-03-17T08:30:58Z","Tue","XAGUSD","SHORT",81.0110,80.3629,81.3350,"BLOCKED","min_breakout_gate"
1773736267,"2026-03-17T08:31:07Z","Tue","ESTX50","LONG",5726.1000,5794.8132,5703.1956,"BLOCKED","min_breakout_gate"
1773736277,"2026-03-17T08:31:17Z","Tue","NAS100","SHORT",24529.7000,24235.3436,24627.8188,"BLOCKED","min_breakout_gate"
1773736279,"2026-03-17T08:31:19Z","Tue","ESTX50","SHORT",5722.9500,5654.2746,5745.8418,"BLOCKED","min_breakout_gate"
1773736280,"2026-03-17T08:31:20Z","Tue","USTEC.F","SHORT",24544.4250,24249.8919,24642.6027,"BLOCKED","vol_gate"
1773736335,"2026-03-17T08:32:15Z","Tue","UK100","LONG",10331.3000,10455.2756,10289.9748,"BLOCKED","min_breakout_gate"
1773736335,"2026-03-17T08:32:15Z","Tue","ESTX50","LONG",5728.0500,5796.7866,5705.1378,"BLOCKED","min_breakout_gate"
1773736396,"2026-03-17T08:33:16Z","Tue","USOIL.F","SHORT",97.3805,95.9198,97.8674,"BLOCKED","min_breakout_gate"
1773736480,"2026-03-17T08:34:40Z","Tue","NAS100","SHORT",24535.3000,24240.8764,24633.4412,"BLOCKED","min_breakout_gate"
1773736665,"2026-03-17T08:37:45Z","Tue","NAS100","LONG",24522.5000,24816.7700,24424.4100,"BLOCKED","min_breakout_gate"
1773736831,"2026-03-17T08:40:31Z","Tue","ESTX50","LONG",5732.8000,5801.5936,5709.8688,"BLOCKED","min_breakout_gate"
1773737005,"2026-03-17T08:43:25Z","Tue","NAS100","LONG",24560.3000,24855.0236,24462.0588,"BLOCKED","min_breakout_gate"
1773737012,"2026-03-17T08:43:32Z","Tue","US500.F","LONG",6681.4950,6761.6729,6654.7690,"BLOCKED","min_breakout_gate"
1773737018,"2026-03-17T08:43:38Z","Tue","UK100","LONG",10346.3000,10470.4556,10304.9148,"BLOCKED","min_breakout_gate"
1773737018,"2026-03-17T08:43:38Z","Tue","ESTX50","LONG",5739.9500,5808.8294,5716.9902,"BLOCKED","min_breakout_gate"
1773737025,"2026-03-17T08:43:45Z","Tue","XAGUSD","SHORT",81.1710,80.5216,81.4957,"BLOCKED","range_break_gate"
1773737074,"2026-03-17T08:44:34Z","Tue","XAGUSD","LONG",81.1910,81.8405,80.8662,"BLOCKED","momentum_gate"
1773737086,"2026-03-17T08:44:46Z","Tue","XAGUSD","SHORT",81.1670,80.5177,81.4917,"BLOCKED","range_break_gate"
1773737114,"2026-03-17T08:45:14Z","Tue","GOLD.F","SHORT",5025.7450,4985.5390,5045.8480,"BLOCKED","can_enter"
