entry_ts_unix,entry_ts_utc,entry_utc_weekday,exit_ts_unix,exit_ts_utc,exit_utc_weekday,symbol,side,entry_px,exit_px,tp,sl,pnl,hold_sec,verdict,reason,exit_reason
1773735238,"2026-03-17T08:13:58Z","Tue",1773735838,"2026-03-17T08:23:58Z","Tue","NAS100","LONG",24551.0000,24546.7500,24845.6120,24452.7960,-4.2500,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773735246,"2026-03-17T08:14:06Z","Tue",1773735846,"2026-03-17T08:24:06Z","Tue","USTEC.F","SHORT",24559.5450,24563.2950,24264.8305,24657.7832,-3.7500,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773735246,"2026-03-17T08:14:06Z","Tue",1773735846,"2026-03-17T08:24:06Z","Tue","NAS100","SHORT",24542.8500,24548.6000,24248.3358,24641.0214,-5.7500,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773735253,"2026-03-17T08:14:13Z","Tue",1773735854,"2026-03-17T08:24:14Z","Tue","UK100","SHORT",10328.9000,10334.9000,10204.9532,10370.2156,-6.0000,601,"BLOCKED","min_breakout_gate","TIMEOUT"
1773735254,"2026-03-17T08:14:14Z","Tue",1773735855,"2026-03-17T08:24:15Z","Tue","DJ30.F","SHORT",46801.4500,46818.9500,46239.8326,46988.6558,-17.5000,601,"BLOCKED","min_breakout_gate","TIMEOUT"
1773735261,"2026-03-17T08:14:21Z","Tue",1773735861,"2026-03-17T08:24:21Z","Tue","USOIL.F","LONG",97.5505,97.5505,99.0138,97.0627,0.0000,600,"ELIGIBLE","pass","TIMEOUT"
1773735261,"2026-03-17T08:14:21Z","Tue",1773735861,"2026-03-17T08:24:21Z","Tue","US500.F","SHORT",6674.3750,6678.6250,6594.2825,6701.0725,-4.2500,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773735323,"2026-03-17T08:15:23Z","Tue",1773735923,"2026-03-17T08:25:23Z","Tue","UK100","LONG",10331.1000,10332.1000,10455.0732,10289.7756,1.0000,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773735337,"2026-03-17T08:15:37Z","Tue",1773735937,"2026-03-17T08:25:37Z","Tue","UK100","SHORT",10325.6500,10335.0000,10201.7422,10366.9526,-9.3500,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773735337,"2026-03-17T08:15:37Z","Tue",1773735937,"2026-03-17T08:25:37Z","Tue","ESTX50","SHORT",5718.8000,5730.7000,5650.1744,5741.6752,-11.9000,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773735340,"2026-03-17T08:15:40Z","Tue",1773735940,"2026-03-17T08:25:40Z","Tue","US500.F","SHORT",6673.1250,6676.3750,6593.0475,6699.8175,-3.2500,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773735349,"2026-03-17T08:15:49Z","Tue",1773735949,"2026-03-17T08:25:49Z","Tue","ESTX50","LONG",5721.9500,5728.7000,5790.6134,5699.0622,6.7500,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773735359,"2026-03-17T08:15:59Z","Tue",1773735959,"2026-03-17T08:25:59Z","Tue","DJ30.F","LONG",46797.4500,46821.9500,47359.0194,46610.2602,24.5000,600,"BLOCKED","momentum_gate","TIMEOUT"
1773735393,"2026-03-17T08:16:33Z","Tue",1773735993,"2026-03-17T08:26:33Z","Tue","USTEC.F","LONG",24553.2950,24561.9200,24847.9345,24455.0818,8.6250,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773735511,"2026-03-17T08:18:31Z","Tue",1773736111,"2026-03-17T08:28:31Z","Tue","USTEC.F","SHORT",24552.6750,24554.4250,24258.0429,24650.8857,-1.7500,600,"BLOCKED","momentum_gate","TIMEOUT"
1773735602,"2026-03-17T08:20:02Z","Tue",1773736202,"2026-03-17T08:30:02Z","Tue","EURUSD","LONG",1.1492,1.1500,1.1501,1.1487,78.0000,600,"BLOCKED","momentum_gate","TIMEOUT"
1773735646,"2026-03-17T08:20:46Z","Tue",1773736246,"2026-03-17T08:30:46Z","Tue","UK100","SHORT",10335.4000,10327.4000,10211.3752,10376.7416,8.0000,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773735723,"2026-03-17T08:22:03Z","Tue",1773736323,"2026-03-17T08:32:03Z","Tue","UK100","LONG",10336.6000,10326.5000,10460.6392,10295.2536,-10.1000,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773735741,"2026-03-17T08:22:21Z","Tue",1773736341,"2026-03-17T08:32:21Z","Tue","NAS100","LONG",24552.5000,24537.8500,24847.1300,24454.2900,-14.6500,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773735757,"2026-03-17T08:22:37Z","Tue",1773736357,"2026-03-17T08:32:37Z","Tue","US500.F","LONG",6679.3750,6675.4950,6759.5275,6652.6575,-3.8800,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773735787,"2026-03-17T08:23:07Z","Tue",1773736387,"2026-03-17T08:33:07Z","Tue","NAS100","SHORT",24551.3000,24539.3500,24256.6844,24649.5052,11.9500,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773735788,"2026-03-17T08:23:08Z","Tue",1773736388,"2026-03-17T08:33:08Z","Tue","USTEC.F","SHORT",24565.9250,24555.4250,24271.1339,24664.1887,10.5000,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773735796,"2026-03-17T08:23:16Z","Tue",1773736396,"2026-03-17T08:33:16Z","Tue","US500.F","SHORT",6677.1250,6675.9950,6596.9995,6703.8335,1.1300,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773735807,"2026-03-17T08:23:27Z","Tue",1773736407,"2026-03-17T08:33:27Z","Tue","UK100","SHORT",10332.9000,10334.8000,10208.9052,10374.2316,-1.9000,600,"BLOCKED","vol_gate","TIMEOUT"
1773735858,"2026-03-17T08:24:18Z","Tue",1773736458,"2026-03-17T08:34:18Z","Tue","UK100","LONG",10338.7000,10335.7000,10462.7644,10297.3452,-3.0000,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773735880,"2026-03-17T08:24:40Z","Tue",1773736480,"2026-03-17T08:34:40Z","Tue","ESTX50","SHORT",5729.0500,5732.1500,5660.3014,5751.9662,-3.1000,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773735882,"2026-03-17T08:24:42Z","Tue",1773736482,"2026-03-17T08:34:42Z","Tue","US500.F","SHORT",6675.6250,6674.6250,6595.5175,6702.3275,1.0000,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773735887,"2026-03-17T08:24:47Z","Tue",1773736488,"2026-03-17T08:34:48Z","Tue","UK100","SHORT",10332.8000,10334.2500,10208.8064,10374.1312,-1.4500,601,"BLOCKED","min_breakout_gate","TIMEOUT"
1773735889,"2026-03-17T08:24:49Z","Tue",1773736489,"2026-03-17T08:34:49Z","Tue","ESTX50","SHORT",5727.3500,5731.1000,5658.6218,5750.2594,-3.7500,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773735949,"2026-03-17T08:25:49Z","Tue",1773736549,"2026-03-17T08:35:49Z","Tue","EURUSD","LONG",1.1496,1.1494,1.1505,1.1491,-18.0000,600,"BLOCKED","momentum_gate","TIMEOUT"
1773735955,"2026-03-17T08:25:55Z","Tue",1773736555,"2026-03-17T08:35:55Z","Tue","USOIL.F","SHORT",97.4005,97.6805,95.9395,97.8875,-280.0000,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773735976,"2026-03-17T08:26:16Z","Tue",1773736576,"2026-03-17T08:36:16Z","Tue","USOIL.F","SHORT",97.4255,97.6955,95.9641,97.9126,-270.0000,600,"BLOCKED","momentum_gate","TIMEOUT"
1773736182,"2026-03-17T08:29:42Z","Tue",1773736782,"2026-03-17T08:39:42Z","Tue","UK100","LONG",10330.7000,10338.8000,10454.6684,10289.3772,8.1000,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773736189,"2026-03-17T08:29:49Z","Tue",1773736789,"2026-03-17T08:39:49Z","Tue","NAS100","SHORT",24529.0000,24536.1500,24234.6520,24627.1160,-7.1500,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773736192,"2026-03-17T08:29:52Z","Tue",1773736792,"2026-03-17T08:39:52Z","Tue","USTEC.F","SHORT",24543.1750,24548.5450,24248.6569,24641.3477,-5.3700,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773736201,"2026-03-17T08:30:01Z","Tue",1773736801,"2026-03-17T08:40:01Z","Tue","NAS100","LONG",24533.1500,24534.7500,24827.5478,24435.0174,1.6000,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773736201,"2026-03-17T08:30:01Z","Tue",1773736801,"2026-03-17T08:40:01Z","Tue","USTEC.F","LONG",24550.4250,24549.4250,24845.0301,24452.2233,-1.0000,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773736241,"2026-03-17T08:30:41Z","Tue",1773736841,"2026-03-17T08:40:41Z","Tue","USTEC.F","SHORT",24547.1700,24561.5450,24252.6040,24645.3587,-14.3750,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773736258,"2026-03-17T08:30:58Z","Tue",1773736858,"2026-03-17T08:40:58Z","Tue","XAGUSD","SHORT",81.0110,81.1480,80.3629,81.3350,-685.0000,600,"BLOCKED","min_breakout_gate","TIMEOUT"
