ts_unix,symbol,side,engine,entry_px,exit_px,pnl,mfe,mae,hold_sec,exit_reason,spread_at_entry,latency_ms,regime
1776938946,XAUUSD,SHORT,CandleFlowEngine,4693.8,4690.93,1.295,1.545,0,80,IMB_EXIT,0.22,0,CANDLE_FLOW
1776939723,XAUUSD,SHORT,CandleFlowEngine,4685.89,4687.13,-1.52,0.76,0,16,SL_HIT,0.22,0,CANDLE_FLOW
1776939955,XAUUSD,SHORT,DomPersistEngine,4689.21,4691.83,-2.9,1.055,0,58,SL_HIT,0.22,0,DOM_PERSIST
1776940177,XAUUSD,SHORT,CandleFlowEngine,4687.71,4687.15,0.28,1.22,0,23,IMB_EXIT,0.22,0,CANDLE_FLOW
1776940237,XAUUSD,SHORT,CandleFlowEngine,4684.83,4685.91,-1.36,0.31,0,8,SL_HIT,0.22,0,CANDLE_FLOW
1776940440,XAUUSD,LONG,EMACross,4693.06,4690.14,-3.2,44.5,0,180,TIMEOUT,0.22,0,EMA_CROSS
1776940627,XAUUSD,SHORT,CandleFlowEngine,4691.03,4692.52,-1.77,0,0,18,SL_HIT,0.22,0,CANDLE_FLOW
1776940927,XAUUSD,SHORT,CandleFlowEngine,4692.96,4694.15,-1.47,0.18,0,17,SL_HIT,0.22,0,CANDLE_FLOW
1776941142,XAUUSD,LONG,DomPersistEngine,4692.21,4690.21,-2.28,1.66,0,125,SL_HIT,0.22,0,DOM_PERSIST
1776941400,XAUUSD,SHORT,EMACross,4690.17,4691.68,-1.79,22.5,0,180,TIMEOUT,0.22,0,EMA_CROSS
1776942072,XAUUSD,SHORT,DomPersistEngine,4698.66,4698.34,0.04,3.07,0,600,MAX_HOLD_TIMEOUT,0.22,0,DOM_PERSIST
1776943209,XAUUSD,LONG,CandleFlowEngine,4701.7,4701.39,-0.59,0.585,0,24,IMB_EXIT,0.22,0,CANDLE_FLOW
1776943755,XAUUSD,SHORT,CompBreakout,4699.3,4701.33,-2.31,176,0,124,REENTER_COMP,0.22,0,CBE
1776944178,XAUUSD,LONG,CandleFlowEngine,4699.68,4699.38,-0.58,0.35,0,20,IMB_EXIT,0.22,0,CANDLE_FLOW
1776944460,XAUUSD,LONG,EMACross,4702.72,4705.94,2.94,333,0,121,TP,0.22,0,EMA_CROSS
1776944587,XAUUSD,LONG,CandleFlowEngine,4706.32,4705.03,-1.57,0,0,24,SL_HIT,0.22,0,CANDLE_FLOW
1776944842,XAUUSD,LONG,CandleFlowEngine,4709.54,4710.91,0.545,0.74,0,8,PARTIAL_TP,0.22,0,CANDLE_FLOW
1776944842,XAUUSD,LONG,CandleFlowEngine,4709.54,4710.14,0.16,0.79,0,21,IMB_EXIT,0.22,0,CANDLE_FLOW
1776944940,XAUUSD,SHORT,BBMeanRev,4709.1,4709.36,-0.54,10,0,2,SL,0.22,0,BB_MEAN_REV
1776944972,XAUUSD,SHORT,BBMeanRev,4707.25,4710.66,-3.68,184,0,176,SL,0.21,0,BB_MEAN_REV
1776945153,XAUUSD,LONG,CandleFlowEngine,4711.92,4712.28,0.08,1,0,36,IMB_EXIT,0.22,0,CANDLE_FLOW
1776945189,XAUUSD,SHORT,BBMeanRev,4712.4,4712.6,-0.48,0,0,0,SL,0.22,0,BB_MEAN_REV
1776946684,XAUUSD,LONG,CandleFlowEngine,4734.56,4732.09,-2.75,0.03,0,8,SL_HIT,0.22,0,CANDLE_FLOW
1776947081,XAUUSD,SHORT,CandleFlowEngine,4733.05,4732.7,0.29,0.95,0,37,IMB_EXIT,0,0,CANDLE_FLOW
1776947409,XAUUSD,LONG,CandleFlowEngine,4734.69,4733.93,-1.04,0.415,0,26,IMB_EXIT,0.22,0,CANDLE_FLOW
1776947360,XAUUSD,LONG,DomPersistEngine,4732.3,4736.26,3.68,9.32,0,600,MAX_HOLD_TIMEOUT,0.22,0,DOM_PERSIST
1776948126,XAUUSD,LONG,CandleFlowEngine,4739.04,4740.25,0.465,0.66,0,8,PARTIAL_TP,0.22,0,CANDLE_FLOW
1776948126,XAUUSD,LONG,CandleFlowEngine,4739.04,4740.08,0.38,1.11,0,48,IMB_EXIT,0.22,0,CANDLE_FLOW
1776948174,XAUUSD,LONG,GoldFlowEngine,4740.32,4739.68,-0.92,0,0,2,ADVERSE_EARLY,0.22,0,FLOW
1776948359,XAUUSD,SHORT,HybridBracketGold,4734.19,4733.91,0.22,1.29,0,1,TRAIL_HIT,0,0,COMPRESSION
1776948361,XAUUSD,SHORT,MacroCrash,4733.79,4738.09,-4.36,2.11,0,364,SL_HIT,0,0,EXPANSION
1776948908,XAUUSD,LONG,XAUUSD_BRACKET,4738.7,4738.7,-0.28,4.5,203,315,BE_HIT,0.22,0,NEUTRAL
1776949348,XAUUSD,SHORT,XAUUSD_BRACKET,4730.63,4730.63,-0.28,6.19,551,1282,BE_HIT,0.22,0,NEUTRAL
1776950771,XAUUSD,SHORT,XAUUSD_BRACKET,4728.59,4734.55,-6.24,3.83,585,869,REGIME_FLIP_EXIT,0.22,0,NEUTRAL
1776952140,XAUUSD,LONG,CandleFlowEngine,4736.57,4737.81,0.48,0.675,0,7,PARTIAL_TP,0.22,0,CANDLE_FLOW
1776952140,XAUUSD,LONG,CandleFlowEngine,4736.57,4736.48,-0.185,0.675,0,23,SL_HIT,0.22,0,CANDLE_FLOW
1776952193,XAUUSD,LONG,CandleFlowEngine,4738.08,4736.7,-1.66,0.15,0,17,SL_HIT,0.22,0,CANDLE_FLOW
1776952276,XAUUSD,SHORT,DomPersistEngine,4735.45,4736.63,-1.45,0,0,5,IMM_REVERSAL,0.21,0,DOM_PERSIST
1776952338,XAUUSD,LONG,CandleFlowEngine,4740.06,4738.66,-1.68,1.24,0,41,SL_HIT,0.22,0,CANDLE_FLOW
1776952630,XAUUSD,LONG,VWAPStretchReversion,4729.33,4730.33,1.44,316,-51,59,SL_HIT,0.22,7.036,COMPRESSION
1776952830,XAUUSD,SHORT,XAUUSD_BRACKET,4723.06,4723.06,-0.28,6.14,30,223,BE_HIT,0.22,0,NEUTRAL
1776953194,XAUUSD,SHORT,XAUUSD_BRACKET,4722.58,4722.58,-0.28,3.26,3,44,BE_HIT,0.22,0,NEUTRAL
1776953359,XAUUSD,SHORT,XAUUSD_BRACKET,4722.38,4722.38,-0.28,2.99,56,159,BE_HIT,0.22,0,NEUTRAL
1776953646,XAUUSD,SHORT,XAUUSD_BRACKET,4722.38,4728.89,-6.79,0.25,654,584,SL_HIT,0.22,0,NEUTRAL
1776954240,XAUUSD,SHORT,BBMeanRev,4729.16,4729.43,-0.55,0,0,0,SL,0.22,0,BB_MEAN_REV
1776954270,XAUUSD,SHORT,BBMeanRev,4730.08,4731.2,-1.4,69,0,14,SL,0.22,0,BB_MEAN_REV
1776954314,XAUUSD,SHORT,BBMeanRev,4731.03,4731.96,-1.21,0,0,7,SL,0.22,0,BB_MEAN_REV
1776954382,XAUUSD,LONG,CandleFlowEngine,4733.5,4732.15,-1.63,0,0,2,SL_HIT,0.22,0,CANDLE_FLOW
1776955113,XAUUSD,SHORT,XAUUSD_BRACKET,4728.5,4734.83,-6.61,2.5,580.5,887,SL_HIT,0.22,0,NEUTRAL
1776956040,XAUUSD,SHORT,CandleFlowEngine,4735.11,4733.95,0.55,0.635,0,14,PARTIAL_TP,0,0,CANDLE_FLOW
1776956040,XAUUSD,SHORT,CandleFlowEngine,4735.11,4733.8,0.625,0.735,0,29,IMB_EXIT,0,0,CANDLE_FLOW
1776956599,XAUUSD,SHORT,CompBreakout,4731.31,4732.57,-1.54,0,0,5,REENTER_COMP,0.22,0,CBE
1776956820,XAUUSD,SHORT,EMACross,4730.3,4728.85,1.17,339,0,180,TIMEOUT,0.22,0,EMA_CROSS
1776957300,XAUUSD,SHORT,CandleFlowEngine,4730.89,4732.28,-1.67,0.19,0,4,SL_HIT,0.22,0,CANDLE_FLOW
1776957411,XAUUSD,SHORT,VWAPStretchReversion,4733.86,4738.86,-21.12,0,-507,78,SL_HIT,0.22,8.235,COMPRESSION
1776957489,XAUUSD,LONG,CandleFlowEngine,4739.1,4740.36,0.49,0.685,0,14,PARTIAL_TP,0.22,0,CANDLE_FLOW
1776957489,XAUUSD,LONG,CandleFlowEngine,4739.1,4739.95,0.285,0.71,0,34,IMB_EXIT,0.22,0,CANDLE_FLOW
1776957525,XAUUSD,LONG,XAUUSD_BRACKET,4740.63,4732.89,-8.02,0.7,840,677,SL_HIT,0.22,0,NEUTRAL
1776958260,XAUUSD,SHORT,EMACross,4731.59,4735.26,-3.95,84,0,165,SL,0.22,0,EMA_CROSS
1776959078,XAUUSD,SHORT,CompBreakout,4730.44,4726.8,3.36,452,0,34,TRAIL_HIT,0.22,0,CBE
