rank,combo_id,MIN_RANGE,MAX_RANGE,EXPANSION_MULT,vol_allow_max,n_trades,n_wins,net_WR_pct,gross_WR_pct,net_usd,gross_usd,cost_usd,mean_gross_per_trade,mean_net_per_trade,PF,max_dd_usd,tp_count,trail_count,sl_count,be_count
61,2,4.00,15.00,1.100,1,3033,1260,41.54,54.47,-8669.46,-1895.93,6773.54,-0.6251,-2.8584,0.1257,8669.46,0,1652,1381,0
62,14,4.00,30.00,1.100,1,3071,1266,41.22,54.90,-8811.51,-1909.30,6902.21,-0.6217,-2.8693,0.1303,8811.51,0,1686,1385,0
63,8,4.00,20.00,1.100,1,3070,1264,41.17,54.33,-8953.84,-2053.74,6900.10,-0.6690,-2.9166,0.1256,8953.84,0,1668,1402,0
64,9,4.00,20.00,1.100,2,3208,1328,41.40,54.89,-9096.16,-1833.28,7262.88,-0.5715,-2.8355,0.1300,9101.15,0,1761,1447,0
65,15,4.00,30.00,1.100,2,3216,1326,41.23,55.13,-9103.17,-1813.58,7289.60,-0.5639,-2.8306,0.1297,9108.17,0,1773,1443,0
66,3,4.00,15.00,1.100,2,3187,1326,41.61,54.19,-9159.63,-2002.02,7157.61,-0.6282,-2.8741,0.1243,9164.62,0,1727,1460,0
67,0,4.00,15.00,1.000,1,3527,1410,39.98,51.97,-10040.68,-2219.32,7821.36,-0.6292,-2.8468,0.1223,10040.68,1,1832,1694,0
68,12,4.00,30.00,1.000,1,3557,1413,39.72,52.32,-10201.52,-2290.34,7911.19,-0.6439,-2.8680,0.1239,10201.52,1,1860,1696,0
69,6,4.00,20.00,1.000,1,3552,1406,39.58,51.91,-10338.93,-2435.35,7903.59,-0.6856,-2.9107,0.1185,10338.93,1,1843,1708,0
70,1,4.00,15.00,1.000,2,3701,1485,40.12,51.77,-10501.52,-2269.65,8231.87,-0.6133,-2.8375,0.1255,10506.52,2,1914,1785,0
71,7,4.00,20.00,1.000,2,3724,1474,39.58,52.07,-10628.30,-2309.08,8319.23,-0.6201,-2.8540,0.1227,10633.30,2,1937,1785,0
72,13,4.00,30.00,1.000,2,3745,1481,39.55,52.66,-10649.26,-2225.10,8424.16,-0.5942,-2.8436,0.1232,10654.26,2,1970,1773,0
