symbol,date,open,high,close,best_pct,intraday_pct,vs_prevclose_pct
AIMD,2026-05-26,1.5300,3.8800,3.1600,154,154,154
QH,2026-06-11,7.0200,8.1500,7.4100,151,16,151
SLXN,2026-05-20,6.3000,6.6600,5.3000,148,6,148
NCRA,2026-05-26,0.4610,0.6010,0.3000,146,30,146
RYET,2026-06-08,0.8250,2.0300,0.9740,146,146,145
MDIA,2026-06-08,0.6680,1.6400,0.7800,146,146,124
LFS,2026-05-22,3.5500,4.5800,3.5500,144,29,144
MOBX,2026-05-14,2.9200,4.2500,3.1100,144,46,144
NCT,2026-05-28,5.1850,5.9200,3.8800,142,14,142
GIPR,2026-05-19,0.2910,0.5880,0.4290,141,102,141
ADIL,2026-06-11,2.2800,5.1700,2.9800,139,127,139
CNEY,2026-05-19,0.7000,1.6700,1.6100,139,139,128
CPHI,2026-05-12,0.4000,0.9500,0.8900,137,137,0
IFBD,2026-06-08,0.9400,2.1750,1.0400,136,131,136
PMI,2026-06-02,0.3880,0.3970,0.2700,136,2,136
BIYA,2026-05-22,1.1250,1.4600,1.3000,136,30,136
VCIG,2026-05-26,1.6550,3.1400,2.9000,136,90,136
UZX,2026-05-26,0.7150,1.0500,0.7700,135,47,135
WTO,2026-06-11,1.7100,2.3500,0.8500,135,37,135
RNWWW,2026-05-15,0.0030,0.0070,0.0070,133,133,133
MYND,2026-05-29,0.2990,0.6640,0.6130,132,122,132
HAO,2026-06-08,0.8820,2.0400,0.9600,131,131,131
STG,2026-05-29,5.1600,6.2000,6.1400,128,20,128
RUBI,2026-06-11,0.5000,1.0700,0.6200,128,114,128
OLOX,2026-05-29,10.1900,11.2000,8.7700,128,10,128
EZGO,2026-06-09,1.4500,3.3000,1.5500,128,128,121
TOPP,2026-05-28,1.5700,3.4900,2.7500,127,122,127
JZXN,2026-06-09,1.9900,2.8300,1.3700,125,42,125
CDTG,2026-06-04,6.7600,15.1200,4.8500,124,124,118
BATL,2026-06-10,1.3200,2.9300,2.0600,124,122,124
GNTA,2026-06-01,1.8350,2.3000,1.6500,123,25,123
GCL,2026-05-20,0.7400,0.9640,0.7450,123,30,123
SNGX,2026-05-27,0.9900,1.1300,0.8700,122,14,122
MNTS,2026-05-26,12.9600,16.2800,15.4800,121,26,121
GRAN,2026-06-08,1.0600,2.2500,1.4250,121,112,121
STAK,2026-06-02,1.2000,2.1500,1.9000,121,79,121
IZM,2026-06-10,0.4000,0.8800,0.7800,120,120,115
LILPV,2026-06-02,14.2800,28.5000,28.5000,119,100,119
RKTO,2026-05-27,0.8600,1.5500,1.3600,119,80,119
LSE,2026-06-04,3.2000,6.9800,4.4350,118,118,118
IOTR,2026-05-29,4.5500,6.0800,3.9100,117,34,117
HIHO,2026-06-09,0.6500,1.4100,0.8300,117,117,96
NIVF,2026-05-21,1.0400,1.6000,1.1200,117,54,117
GCDT,2026-06-10,1.1900,1.4400,0.8600,115,21,115
RKDA,2026-06-11,1.1300,1.9400,1.0700,115,72,115
CODX,2026-05-26,6.8700,10.8000,9.1100,113,57,113
ERNA,2026-05-12,7.4600,15.8800,12.0100,113,113,0
HWH,2026-06-10,1.9800,2.6000,1.4200,112,31,112
PHGE,2026-05-26,1.5200,1.7300,1.6200,112,14,112
AMSS,2026-05-27,7.5100,7.5700,5.7000,111,1,111
CXAI,2026-06-04,0.3100,0.3350,0.2550,111,8,111
NCPL,2026-05-21,0.5420,0.9550,0.8200,110,76,110
ENRD,2026-06-10,16.1800,34.0000,14.9900,110,110,0
SMXT,2026-06-10,0.4500,0.7900,0.4770,108,76,108
DUKRW,2026-05-15,0.9500,1.9600,1.8000,106,106,0
